#{"t_start": 1782478114.7687337, "env_id": "Reacher-v5"}
r,l,t
-55.600545,50,21.443891
-58.164805,50,21.508599
-59.78898,50,22.659595
-49.073311,50,22.712955
-60.09949,50,22.766879
-47.329548,50,22.816422
-56.086829,50,22.864236
-52.906122,50,22.915611
-46.383974,50,22.965639
-59.000207,50,23.016668
-51.123531,50,23.066458
-58.392473,50,23.118871
-58.426179,50,23.167419
-58.975201,50,23.214463
-52.665417,50,23.271786
-59.757007,50,23.332422
-55.484191,50,23.386289
-51.730791,50,23.437865
-57.009482,50,23.487484
-52.09445,50,23.540199
-56.711502,50,23.593451
-52.692571,50,23.642364
-51.423228,50,23.703171
-58.539828,50,23.7602
-52.168599,50,23.814501
-56.533817,50,23.869336
-50.418904,50,23.931076
-56.435699,50,23.989043
-56.885041,50,24.040803
-58.582586,50,24.089504
-55.345491,50,24.143054
-60.176469,50,24.206662
-56.358334,50,24.259592
-54.917375,50,24.310677
-48.865894,50,24.373029
-47.205649,50,24.429397
-58.814594,50,24.478555
-51.719195,50,24.526443
-55.286091,50,24.57639
-44.526204,50,24.626005
-57.431703,50,24.676158
-53.065016,50,24.727089
-42.008293,50,24.777271
-54.871576,50,25.89752
-53.124691,50,25.953676
-48.547737,50,26.01579
-56.271408,50,26.075953
-54.945057,50,26.12867
-57.299,50,26.182736
-50.188792,50,26.232863
-48.053248,50,26.290613
-58.049232,50,26.350467
-51.822628,50,26.402026
-47.250144,50,26.451439
-46.679892,50,26.504087
-55.618371,50,26.558315
-42.265035,50,26.60864
-46.687071,50,26.659826
-48.602696,50,26.708508
-53.520907,50,26.758014
-53.266666,50,26.806103
-50.667027,50,26.863953
-44.018589,50,26.922551
-44.06559,50,26.973876
-51.864701,50,27.037898
-53.864248,50,27.096097
-39.07903,50,27.14512
-51.857009,50,27.193678
-49.688105,50,27.242576
-40.578948,50,27.294906
-50.334454,50,27.360041
-45.66692,50,27.422024
-56.154021,50,27.476387
-51.381113,50,27.533626
-53.670667,50,27.584723
-44.920874,50,27.649581
-55.174379,50,27.708258
-45.768157,50,27.759762
-44.183236,50,27.81285
-62.66498,50,27.877475
-46.118361,50,27.945219
-57.68787,50,28.010167
-57.109644,50,28.070832
-49.415552,50,28.124357
-55.154294,50,29.253375
-51.885584,50,29.303238
-53.970242,50,29.355259
-41.467844,50,29.417115
-47.813731,50,29.485379
-44.710606,50,29.54136
-49.029387,50,29.595276
-43.058373,50,29.65863
-50.133524,50,29.723352
-48.903713,50,29.784878
-55.148129,50,29.841349
-46.380152,50,29.90761
-53.564201,50,29.972425
-43.790706,50,30.036859
-49.025593,50,30.10149
-48.681668,50,30.164932
-49.086473,50,30.23017
-53.015947,50,30.283705
-35.440674,50,30.343159
-43.738189,50,30.397108
-49.846207,50,30.459014
-48.295116,50,30.525721
-43.711026,50,30.586665
-52.769929,50,30.64884
-53.371719,50,30.714193
-49.01273,50,30.766145
-53.361641,50,30.820686
-48.921384,50,30.870468
-39.127933,50,30.927761
-48.382326,50,30.983697
-54.14442,50,31.038523
-50.586967,50,31.104589
-53.271454,50,31.172895
-50.356034,50,31.237986
-46.909282,50,31.302887
-43.630693,50,31.367708
-48.27682,50,31.432023
-49.529074,50,31.496254
-51.977919,50,31.561916
-50.015691,50,31.626707
-47.709819,50,31.68861
-48.91729,50,32.833946
-43.776546,50,32.89244
-43.441201,50,32.95403
-51.152156,50,33.016778
-43.532878,50,33.081764
-47.080912,50,33.149563
-42.27661,50,33.213588
-45.458758,50,33.271424
-44.836052,50,33.33717
-51.394872,50,33.39145
-53.585372,50,33.447504
-44.597601,50,33.504077
-43.893837,50,33.560995
-49.302256,50,33.62105
-49.341401,50,33.681508
-48.112355,50,33.73731
-55.434191,50,33.802967
-45.062532,50,33.866798
-55.617175,50,33.923638
-45.66447,50,33.97462
-47.668186,50,34.024915
-50.593131,50,34.091221
-42.767454,50,34.14235
-48.195077,50,34.193087
-56.294382,50,34.243421
-37.928445,50,34.296057
-45.335419,50,34.353856
-50.533225,50,34.403583
-47.064958,50,34.451661
-57.630945,50,34.504544
-49.02139,50,34.568524
-46.829765,50,34.62295
-49.842703,50,34.672782
-58.06681,50,34.72006
-43.676742,50,34.766892
-44.777796,50,34.823018
-48.067771,50,34.87744
-44.090628,50,34.945331
-52.783693,50,35.012038
-45.004065,50,35.07363
-53.066334,50,35.137162
-35.911099,50,36.305269
-40.663395,50,36.366532
-44.779578,50,36.429042
-39.670564,50,36.491878
-45.863378,50,36.55606
-40.755283,50,36.620373
-46.16161,50,36.685166
-44.052084,50,36.741987
-43.519788,50,36.79962
-42.436858,50,36.864308
-50.066999,50,36.912687
-46.946593,50,36.968816
-40.557248,50,37.033573
-47.940582,50,37.093347
-41.265182,50,37.156431
-43.182414,50,37.222748
-43.304358,50,37.287127
-46.737155,50,37.338865
-36.495942,50,37.392879
-37.86021,50,37.442916
-39.947942,50,37.492065
-39.688839,50,37.557251
-45.305728,50,37.62091
-43.08425,50,37.684577
-35.61056,50,37.746354
-46.0368,50,37.811252
-38.995835,50,37.876206
-37.244064,50,37.939537
-38.984626,50,38.004333
-35.233855,50,38.068522
-49.52757,50,38.121941
-41.029285,50,38.179219
-43.520164,50,38.24739
-40.863223,50,38.311376
-43.210656,50,38.374233
-50.257463,50,38.435883
-43.223625,50,38.50146
-52.076498,50,38.553213
-41.515432,50,38.60668
-43.685817,50,38.658891
-39.974587,50,38.705753
-47.093563,50,39.804734
-41.136825,50,39.85875
-45.48387,50,39.910001
-47.196447,50,39.967268
-38.329357,50,40.023357
-45.032492,50,40.090671
-44.701905,50,40.144402
-45.722909,50,40.20434
-37.207204,50,40.270775
-39.825833,50,40.32439
-44.246178,50,40.381066
-44.932581,50,40.445923
-38.291284,50,40.502454
-40.618823,50,40.559789
-46.85359,50,40.625255
-42.251811,50,40.687669
-38.712846,50,40.741696
-42.183519,50,40.797611
-41.320984,50,40.849064
-49.62052,50,40.898192
-40.238695,50,40.947169
-41.001281,50,40.993713
-42.359296,50,41.042115
-43.556725,50,41.091243
-50.941659,50,41.143182
-42.527805,50,41.194428
-40.905491,50,41.245762
-46.297757,50,41.295009
-44.113237,50,41.342981
-32.438401,50,41.390796
-51.064193,50,41.437861
-39.976519,50,41.487648
-39.473469,50,41.538661
-48.27126,50,41.589033
-43.169569,50,41.649168
-51.76882,50,41.709203
-36.278871,50,41.774389
-38.912013,50,41.829633
-43.1217,50,41.883436
-43.99554,50,41.936548
-37.832796,50,41.991861
-45.322033,50,43.179186
-32.734679,50,43.23798
-38.978552,50,43.287137
-39.542373,50,43.350875
-39.466796,50,43.405962
-39.637677,50,43.474685
-37.377862,50,43.529227
-42.156611,50,43.585086
-40.927301,50,43.637974
-47.94104,50,43.686171
-36.896858,50,43.733439
-38.56344,50,43.781044
-38.645896,50,43.840966
-41.891086,50,43.892397
-41.93148,50,43.949104
-36.125426,50,44.013034
-44.801226,50,44.080698
-42.405644,50,44.144557
-39.247059,50,44.196108
-37.374713,50,44.254971
-39.94075,50,44.321409
-36.625165,50,44.388068
-44.877109,50,44.450031
-44.438212,50,44.501746
-41.142093,50,44.557626
-31.478247,50,44.608917
-40.467102,50,44.660555
-36.836779,50,44.707435
-31.961389,50,44.756107
-45.714435,50,44.805927
-35.771231,50,44.855501
-43.202773,50,44.916585
-37.132195,50,44.977128
-43.694851,50,45.037813
-39.010825,50,45.096521
-41.185718,50,45.150529
-37.179826,50,45.214988
-33.522336,50,45.278266
-46.948227,50,45.328956
-39.348406,50,45.384817
-34.831269,50,45.439993
-41.42046,50,46.569642
-42.512198,50,46.621505
-38.683209,50,46.671205
-37.637946,50,46.726234
-37.791172,50,46.786957
-41.167987,50,46.852236
-39.334624,50,46.904439
-39.513803,50,46.960912
-46.543924,50,47.011677
-45.408509,50,47.063912
-41.981678,50,47.122421
-33.353636,50,47.179753
-36.380361,50,47.226336
-38.508473,50,47.288582
-45.326129,50,47.34831
-37.685881,50,47.412445
-31.143433,50,47.470113
-37.305629,50,47.536425
-33.661455,50,47.591114
-41.477341,50,47.643835
-34.14474,50,47.703053
-43.848176,50,47.755128
-40.868646,50,47.807521
-39.434282,50,47.858818
-36.462191,50,47.908626
-37.356746,50,47.957425
-35.989046,50,48.004918
-39.544974,50,48.053535
-39.32196,50,48.104207
-41.661517,50,48.158571
-40.466007,50,48.2223
-39.814164,50,48.28169
-42.545237,50,48.3378
-41.971527,50,48.398464
-39.798424,50,48.449633
-37.945072,50,48.504342
-38.099801,50,48.562727
-35.925551,50,48.621655
-33.224476,50,48.682956
-30.599871,50,48.749735
-37.429165,50,48.811936
-39.871564,50,49.935348
-39.950121,50,49.983992
-30.066973,50,50.043365
-31.269358,50,50.100135
-35.481811,50,50.153326
-39.373938,50,50.204154
-37.544885,50,50.256078
-39.738266,50,50.318037
-36.101486,50,50.383089
-36.895156,50,50.438548
-27.781846,50,50.496657
-39.482104,50,50.548664
-30.134255,50,50.597894
-30.779712,50,50.651087
-35.167644,50,50.699297
-33.083459,50,50.745695
-34.195208,50,50.792465
-29.325588,50,50.852702
-36.617997,50,50.917371
-36.256181,50,50.984977
-31.580386,50,51.047811
-38.339278,50,51.102207
-37.271935,50,51.161078
-36.893464,50,51.228651
-36.414767,50,51.292373
-36.150704,50,51.347744
-32.174692,50,51.402075
-30.580241,50,51.463437
-34.754503,50,51.515818
-37.07771,50,51.566393
-42.708951,50,51.615569
-28.500402,50,51.668092
-35.339085,50,51.731575
-33.710144,50,51.797906
-33.000861,50,51.861528
-30.454947,50,51.926013
-37.132681,50,51.990052
-27.46233,50,52.05473
-38.284553,50,52.11904
-30.253468,50,52.184856
-32.134741,50,52.250973
-33.778939,50,53.407334
-28.760896,50,53.455309
-33.244049,50,53.507935
-40.04919,50,53.573762
-28.211069,50,53.634857
-33.440718,50,53.689163
-32.489653,50,53.74726
-22.740479,50,53.814956
-34.230387,50,53.877518
-31.214699,50,53.941418
-31.953727,50,54.000543
-36.600725,50,54.053314
-33.32094,50,54.116639
-29.542456,50,54.178317
-36.437519,50,54.240399
