#{"t_start": 1782735274.7073853, "env_id": "Reacher-v5"}
r,l,t
-64.070764,50,23.217814
-76.179589,50,23.282269
-63.042769,50,24.543399
-64.691602,50,24.607955
-74.159909,50,24.664451
-69.166457,50,24.724253
-70.233451,50,24.778172
-75.032825,50,24.839141
-70.556478,50,24.899093
-71.08268,50,24.969835
-67.868903,50,25.043331
-68.641621,50,25.111591
-72.947855,50,25.180498
-68.941415,50,25.239628
-74.548257,50,25.304022
-70.946086,50,25.381111
-66.061655,50,25.45881
-68.972561,50,25.521528
-64.907127,50,25.581409
-72.722495,50,25.643581
-69.420001,50,25.705321
-70.705985,50,25.757559
-65.614293,50,25.81659
-66.858631,50,25.867688
-72.077287,50,25.929759
-72.796565,50,25.991584
-75.370098,50,26.047723
-65.172282,50,26.10861
-72.198244,50,26.167034
-75.169916,50,26.228668
-72.385112,50,26.288063
-66.879337,50,26.339442
-69.313361,50,26.399057
-71.062947,50,26.45734
-73.422494,50,26.510545
-69.660141,50,26.571043
-74.631022,50,26.626762
-71.907567,50,26.679466
-66.325087,50,26.727665
-75.499594,50,26.77735
-68.131727,50,26.837674
-68.328154,50,26.897375
-64.042782,50,26.950547
-65.233318,50,28.001472
-69.078758,50,28.052741
-66.76908,50,28.105231
-75.939361,50,28.15648
-62.019584,50,28.206056
-76.85248,50,28.259033
-72.581245,50,28.316734
-77.301014,50,28.376372
-63.308736,50,28.429613
-70.580655,50,28.482048
-73.666627,50,28.531681
-72.622241,50,28.590137
-61.762902,50,28.647596
-68.554934,50,28.69896
-77.399228,50,28.759949
-70.618729,50,28.8181
-69.57863,50,28.877437
-75.020645,50,28.93108
-65.811651,50,28.986934
-65.485025,50,29.04105
-71.711365,50,29.099762
-71.129059,50,29.163642
-64.437825,50,29.22352
-64.713923,50,29.277683
-69.636025,50,29.328671
-65.52399,50,29.392557
-66.306669,50,29.446908
-62.743404,50,29.499488
-69.472583,50,29.560042
-65.354312,50,29.618844
-67.096576,50,29.669131
-70.511543,50,29.727967
-71.000993,50,29.79149
-68.937339,50,29.849297
-70.48433,50,29.908991
-69.260581,50,29.969485
-72.423854,50,30.026177
-73.068637,50,30.0859
-72.631964,50,30.148475
-62.66986,50,30.213984
-72.033061,50,30.275031
-67.523939,50,31.363
-78.158272,50,31.42818
-63.919865,50,31.484421
-74.145667,50,31.534356
-75.41994,50,31.594035
-74.602467,50,31.655058
-69.682241,50,31.717096
-72.611354,50,31.772014
-71.50054,50,31.829267
-63.266553,50,31.884076
-73.119918,50,31.942642
-71.824162,50,31.997656
-69.240232,50,32.056252
-71.004418,50,32.117657
-70.413507,50,32.17993
-72.403235,50,32.239952
-68.149261,50,32.304414
-69.965057,50,32.367041
-71.275522,50,32.423579
-72.734479,50,32.490279
-71.465285,50,32.551195
-67.796628,50,32.611184
-73.654779,50,32.66108
-66.830469,50,32.718402
-66.868366,50,32.781434
-78.022273,50,32.841919
-71.853549,50,32.899212
-72.320707,50,32.95982
-67.446243,50,33.014525
-68.598045,50,33.07155
-74.320549,50,33.124457
-70.790673,50,33.179666
-72.182046,50,33.232484
-71.060612,50,33.286472
-71.417708,50,33.345564
-70.569031,50,33.411085
-73.6239,50,33.469213
-70.992217,50,33.522847
-65.743523,50,33.577732
-75.398587,50,33.633605
-68.521926,50,33.684113
-72.760677,50,34.762157
-81.389885,50,34.81551
-67.293359,50,34.872152
-76.535625,50,34.92685
-68.850093,50,34.98601
-76.275262,50,35.046575
-62.654398,50,35.101809
-68.888706,50,35.155986
-67.609208,50,35.212283
-65.113843,50,35.271269
-72.097082,50,35.32724
-64.72784,50,35.384543
-74.075338,50,35.436426
-74.58337,50,35.488473
-68.896293,50,35.538625
-67.523138,50,35.592233
-66.51578,50,35.650978
-67.648703,50,35.710178
-61.813039,50,35.766024
-66.273934,50,35.82102
-64.025689,50,35.876459
-65.871822,50,35.932778
-70.947456,50,35.988495
