#{"t_start": 1782730396.64561, "env_id": "Reacher-v5"}
r,l,t
-64.749847,50,22.110788
-58.90028,50,22.17647
-62.772255,50,23.452675
-55.142609,50,23.517359
-60.487014,50,23.574551
-54.816748,50,23.628034
-57.618194,50,23.696091
-58.486056,50,23.761098
-57.145934,50,23.828394
-63.37801,50,23.889872
-58.753985,50,23.952501
-55.999076,50,24.019956
-54.34557,50,24.088006
-59.957305,50,24.152867
-46.93825,50,24.216697
-57.381937,50,24.27702
-66.332301,50,24.340915
-49.930053,50,24.400917
-63.997698,50,24.467204
-70.223272,50,24.52471
-67.680946,50,24.586625
-58.218931,50,24.643482
-56.905693,50,24.705007
-55.936313,50,24.772491
-58.376637,50,24.835456
-58.131513,50,24.899571
-61.539588,50,24.959858
-62.194042,50,25.027149
-47.810625,50,25.084279
-57.626889,50,25.145718
-61.360807,50,25.214992
-66.301341,50,25.283646
-57.560829,50,25.349132
-54.726579,50,25.40753
-63.476589,50,25.470162
-71.763314,50,25.53077
-66.069982,50,25.586581
-59.511738,50,25.638575
-68.161937,50,25.697465
-59.906928,50,25.757637
-56.851008,50,25.813533
-65.85725,50,25.864161
-59.66673,50,25.915944
-56.533324,50,27.061674
-55.66406,50,27.119134
-58.430065,50,27.180592
-47.294508,50,27.241751
-57.05201,50,27.302773
-54.575431,50,27.367818
-56.459473,50,27.424719
-60.280462,50,27.476104
-60.850776,50,27.532551
-59.374126,50,27.604788
-54.02267,50,27.658807
-61.157686,50,27.718178
-59.021221,50,27.773677
-59.912208,50,27.83198
-60.523262,50,27.889292
-58.530656,50,27.945524
-57.720903,50,27.999245
-57.128347,50,28.059839
-54.73806,50,28.117355
-61.070824,50,28.164048
-55.066127,50,28.221129
-57.268973,50,28.279695
-59.415998,50,28.334784
-63.624008,50,28.38963
-69.095784,50,28.445284
-51.466194,50,28.500362
-58.342255,50,28.54768
-54.247602,50,28.603155
-62.073951,50,28.65332
-70.69858,50,28.706132
-59.23207,50,28.765674
-52.210192,50,28.830558
-57.62524,50,28.884729
-55.055666,50,28.939103
-64.505438,50,28.995689
-54.715359,50,29.055895
-53.312597,50,29.111684
-58.766458,50,29.168658
-57.561799,50,29.226894
-47.692842,50,29.277002
-52.460125,50,29.337948
-62.478554,50,30.464651
-43.81276,50,30.516896
-52.953659,50,30.572798
-57.668726,50,30.629709
-53.318633,50,30.686366
-54.561887,50,30.742018
-62.561689,50,30.794415
-57.796074,50,30.850272
-61.456505,50,30.908716
-65.909821,50,30.965516
-57.036228,50,31.023384
-60.616211,50,31.076826
-57.035567,50,31.130493
-49.989482,50,31.190267
-68.155014,50,31.241154
-56.64632,50,31.29519
-53.406894,50,31.342196
-62.654501,50,31.391223
-52.73727,50,31.447321
-63.103987,50,31.508677
-63.946059,50,31.565704
-55.865291,50,31.621431
-58.149271,50,31.68336
-66.269564,50,31.74451
-56.042132,50,31.801368
-55.540867,50,31.853539
-61.841019,50,31.909835
-53.060923,50,31.967821
-55.660223,50,32.032406
-56.996733,50,32.087344
-51.496732,50,32.142136
-55.357582,50,32.201178
-50.771044,50,32.254717
-55.297109,50,32.310776
-57.702159,50,32.363184
-57.810189,50,32.416504
-57.612395,50,32.467228
-61.276397,50,32.519393
-63.301875,50,32.572124
-59.692856,50,32.621355
-62.197513,50,32.673362
-62.085253,50,33.66174
-63.519638,50,33.711871
-54.490288,50,33.763563
-57.325692,50,33.815551
-61.035428,50,33.865333
-65.28139,50,33.913135
-66.774791,50,33.961843
-53.621655,50,34.014263
-60.450543,50,34.063883
-57.406021,50,34.112705
-60.280418,50,34.16039
-56.863867,50,34.212964
-61.899433,50,34.266543
-56.355798,50,34.314601
-59.038905,50,34.365241
-63.463722,50,34.417527
-65.358835,50,34.474173
-54.637093,50,34.528136
-59.316102,50,34.580755
-62.742253,50,34.633122
-55.194641,50,34.686454
-62.29802,50,34.738101
-55.248214,50,34.791788
-59.256022,50,34.84161
-55.919557,50,34.88956
-54.727096,50,34.940368
-58.392823,50,34.991105
-56.900428,50,35.04601
-63.922286,50,35.096136
-53.826743,50,35.150634
-54.441774,50,35.200692
-64.327867,50,35.248798
-57.042266,50,35.297728
-63.246329,50,35.351062
-58.046836,50,35.405731
-53.497788,50,35.459144
-54.543578,50,35.510756
-64.274975,50,35.560244
-52.720131,50,35.60862
-62.063803,50,35.655262
-57.374102,50,35.70617
-50.312814,50,36.729077
-54.618797,50,36.779689
-54.021092,50,36.831125
-53.384229,50,36.881681
-51.578832,50,36.93288
-59.014292,50,36.982316
-43.635436,50,37.03266
-56.496014,50,37.085336
-56.684817,50,37.138609
-56.448053,50,37.187795
-60.431914,50,37.241246
-51.860684,50,37.29108
-62.223451,50,37.343015
-55.95484,50,37.390246
-50.119436,50,37.440935
-51.267184,50,37.488773
-55.433958,50,37.541087
-61.835347,50,37.592579
-52.943626,50,37.641918
-56.060982,50,37.691187
-58.24879,50,37.740755
-67.671591,50,37.793168
-53.273498,50,37.84225
-57.50739,50,37.892182
-57.271615,50,37.944265
-54.933462,50,37.998257
-58.076504,50,38.049133
-53.942058,50,38.100469
-61.617993,50,38.152694
-52.651381,50,38.205432
-48.296213,50,38.261802
-57.466839,50,38.31726
-64.663315,50,38.370805
-60.596375,50,38.422685
-58.374608,50,38.471336
-55.828033,50,38.518904
-56.730299,50,38.569988
-59.464292,50,38.622418
-57.119803,50,38.677896
-51.007557,50,38.729036
-57.803189,50,38.784185
-62.05514,50,39.75964
-48.080528,50,39.812227
-52.352782,50,39.862717
-50.795774,50,39.914616
-48.735387,50,39.96955
-59.645205,50,40.022204
-55.24766,50,40.076633
-54.675493,50,40.128674
-63.732415,50,40.180509
-51.331811,50,40.232827
-58.895343,50,40.279754
-54.493881,50,40.334103
-59.501594,50,40.38959
-56.021103,50,40.439828
-48.969776,50,40.490572
-57.078851,50,40.547776
-50.103666,50,40.607265
-54.666508,50,40.662922
-57.185837,50,40.720096
-59.568406,50,40.77516
-56.887721,50,40.82738
-55.927163,50,40.881911
-50.630677,50,40.946625
-53.08526,50,40.999314
-64.756322,50,41.054033
-52.186275,50,41.114706
-53.682731,50,41.174888
-52.753524,50,41.23646
-63.533804,50,41.293499
-57.471511,50,41.348095
-55.854414,50,41.401573
-52.68096,50,41.456729
-58.489433,50,41.506732
-59.993419,50,41.557032
-59.368231,50,41.611324
-56.686022,50,41.669546
-53.847313,50,41.728224
-63.546808,50,41.784459
-59.410373,50,41.83217
-55.606162,50,41.886807
-61.833372,50,41.941603
-58.696446,50,42.977994
-51.984876,50,43.031465
-63.273493,50,43.084915
-63.542815,50,43.135439
-66.085889,50,43.183834
-55.052886,50,43.24314
-54.288449,50,43.297407
-59.448785,50,43.350253
-61.561733,50,43.407318
-56.437392,50,43.46375
-58.034873,50,43.514967
-52.258578,50,43.568106
-54.019002,50,43.625986
-63.171884,50,43.676711
-49.924527,50,43.730742
-56.327755,50,43.789862
-55.745439,50,43.846007
-57.590493,50,43.896831
-50.325157,50,43.952419
-51.148483,50,44.006522
-51.746708,50,44.063525
-55.139226,50,44.116977
-56.283057,50,44.171844
-63.292903,50,44.221622
-61.155194,50,44.276798
-57.807802,50,44.325144
-52.267643,50,44.375605
-60.746551,50,44.427619
-59.444234,50,44.484358
-49.925779,50,44.538209
-58.23446,50,44.593371
-54.343035,50,44.642626
-58.59846,50,44.696029
-53.049745,50,44.748875
-52.54056,50,44.801468
-57.904378,50,44.862997
-53.457534,50,44.91232
-56.310586,50,44.968218
-52.290176,50,45.02807
-50.548228,50,45.082198
-52.785594,50,45.134538
-55.663134,50,46.179681
-60.359147,50,46.230625
-52.925716,50,46.28325
-55.828362,50,46.345888
-47.782502,50,46.398772
-55.953808,50,46.452384
-60.392969,50,46.505404
-51.593527,50,46.566702
-56.325977,50,46.618681
-48.305363,50,46.672156
-55.631809,50,46.727668
-52.462455,50,46.780792
-58.946314,50,46.83362
-54.639283,50,46.889177
-62.521587,50,46.945168
-50.314832,50,46.997723
-56.579698,50,47.04978
