step,cube_z,lowest_corner,tilt_deg,finger_sum,gap
0,0.05206,0.03106,0.0,0.08,0.33672
1,0.04519,0.02419,0.0,0.08,0.33836
2,0.0344,0.0134,0.0,0.08,0.34175
3,0.021,-4e-05,0.1,0.08,0.34832
4,0.021,-0.0,0.0,0.08,0.34271
5,0.021,-0.0,0.0,0.08,0.3381
6,0.021,-0.0,0.0,0.08,0.33394
7,0.021,-0.0,0.0,0.08,0.3278
8,0.021,-0.0,0.0,0.08,0.31704
9,0.021,-0.0,0.0,0.08,0.30104
10,0.021,-0.0,0.0,0.07998,0.2816
11,0.021,-0.0,0.0,0.07996,0.2599
12,0.021,-0.0,0.0,0.07995,0.23767
13,0.021,-0.0,0.0,0.07993,0.21565
14,0.021,-0.0,0.0,0.07991,0.19535
15,0.021,-0.0,0.0,0.07991,0.17622
16,0.021,-0.0,0.0,0.07992,0.15882
17,0.021,-0.0,0.0,0.07994,0.14165
18,0.021,-0.0,0.0,0.07995,0.12505
19,0.021,-0.0,0.0,0.07998,0.108
20,0.021,-0.0,0.0,0.07997,0.09058
21,0.021,-0.0,0.0,0.07999,0.07277
22,0.021,-0.0,0.0,0.07999,0.05452
23,0.021,-0.0,0.0,0.08,0.03608
24,0.021,-0.0,0.0,0.08,0.01759
25,0.021,-0.0,0.0,0.08,0.00257
26,0.02098,-0.00038,0.7,0.07993,0.0089
27,0.021,-4e-05,0.1,0.08,0.0104
28,0.02107,-4e-05,0.2,0.07944,0.01124
29,0.021,-0.0,0.0,0.07988,0.01039
30,0.02146,-0.00038,1.8,0.07582,0.01097
31,0.02245,0.00018,3.6,0.07057,0.01355
32,0.02161,-0.0,1.4,0.0636,0.01167
33,0.02102,-5e-05,0.1,0.06004,0.01156
34,0.021,-0.0,0.0,0.05128,0.01337
35,0.02203,0.00015,2.0,0.04673,0.0143
36,0.02124,1e-05,0.5,0.03727,0.01311
37,0.02168,0.00019,1.0,0.03527,0.01556
38,0.0227,0.0002,3.8,0.04468,0.01491
39,0.02332,0.00029,5.8,0.04571,0.01496
40,0.02397,0.00054,4.9,0.0456,0.01487
41,0.02879,0.00387,8.0,0.04511,0.01493
42,0.03337,0.00709,11.1,0.04509,0.01482
43,0.03953,0.01175,14.7,0.04505,0.01488
44,0.04698,0.01775,18.8,0.04508,0.01498
45,0.05028,0.02035,20.3,0.04501,0.01515
46,0.05452,0.02369,22.7,0.04509,0.01555
47,0.05873,0.02704,25.4,0.04513,0.01556
48,0.06332,0.03105,27.3,0.0451,0.01556
49,0.06386,0.03148,27.6,0.0452,0.01574
50,0.06352,0.03086,28.6,0.04514,0.01571
51,0.06341,0.0305,29.6,0.04513,0.01569
52,0.06349,0.03059,29.5,0.04515,0.01571
53,0.06355,0.03086,28.8,0.04515,0.01568
54,0.06364,0.03106,28.3,0.04514,0.01567
55,0.06378,0.03121,28.3,0.04516,0.01572
56,0.06356,0.03116,27.7,0.04516,0.0157
57,0.06394,0.03177,27.1,0.04514,0.01572
58,0.06589,0.03366,27.3,0.04519,0.01568
59,0.06826,0.03629,26.6,0.0452,0.01518
60,0.07132,0.03968,25.8,0.04535,0.01605
61,0.07388,0.04206,26.7,0.04537,0.01604
62,0.07597,0.0445,26.2,0.0454,0.01602
63,0.08064,0.04965,25.9,0.04537,0.01606
64,0.08836,0.05738,27.2,0.04537,0.01603
65,0.0916,0.06102,27.3,0.04538,0.01605
66,0.09406,0.06409,27.3,0.0454,0.01604
67,0.09915,0.06925,28.3,0.04535,0.016
68,0.10102,0.07156,28.6,0.0454,0.01604
69,0.10307,0.07393,28.7,0.04539,0.01603
70,0.10953,0.08042,30.3,0.04535,0.01598
71,0.11139,0.08234,30.5,0.04539,0.01605
72,0.11366,0.08445,31.0,0.04538,0.01603
73,0.12048,0.091,32.8,0.04535,0.016
74,0.12478,0.0945,33.8,0.0454,0.01604
75,0.12907,0.09841,34.7,0.04538,0.01604
76,0.13346,0.1026,36.0,0.04535,0.01601
