step,gap,finger_sum,raw_grip_action,sent_grip_action,refresh,commands_close,yaw_to_cube_deg,cube_z,r_approach,r_fingers_on_cube,bump,held,reward_total
0,0.33642,0.07999,0.2261,0.2261,1,0,12.23,0.05206,0.3047,0.0,0.0003,0,0.006
1,0.34727,0.08,0.3376,0.2261,0,0,13.8,0.04519,0.2809,0.0,0.0,0,0.0056
2,0.35258,0.07999,0.7047,0.2261,0,0,14.97,0.0344,0.2699,0.0,0.0002,0,0.0054
3,0.36371,0.08,0.6979,0.2261,0,0,24.06,0.021,0.2481,0.0,0.0,0,0.0049
4,0.36635,0.08,0.6104,0.2261,0,0,26.47,0.021,0.2431,0.0,0.0,0,0.0049
5,0.35849,0.07996,0.8881,0.8881,1,0,26.72,0.021,0.2581,0.0,0.001,0,0.0051
6,0.3463,0.07999,0.8879,0.8881,0,0,33.53,0.021,0.2829,0.0,0.0002,0,0.0057
7,0.33789,0.08,0.7228,0.8881,0,0,40.0,0.021,0.3014,0.0,0.0,0,0.0061
8,0.31402,0.07998,0.7552,0.8881,0,0,38.68,0.021,0.36,0.0,0.0006,0,0.0073
9,0.29233,0.07998,0.8038,0.8881,0,0,43.62,0.021,0.4223,0.0,0.0006,0,0.0086
10,0.27142,0.07999,0.6903,0.6903,1,0,44.4,0.021,0.4913,0.0,0.0001,0,0.0101
11,0.24649,0.07997,0.7076,0.6903,0,0,42.92,0.021,0.5865,0.0,0.0008,0,0.0122
12,0.22834,0.08,0.692,0.6903,0,0,42.12,0.021,0.6654,0.0,0.0,0,0.0141
13,0.20742,0.08,0.6556,0.6903,0,0,43.13,0.021,0.7673,0.0,0.0001,0,0.0165
14,0.18908,0.07996,0.795,0.6903,0,0,43.75,0.021,0.8666,0.0,0.0011,0,0.0191
15,0.16967,0.08,0.8927,0.8927,1,0,39.35,0.021,0.9824,0.0,0.0,0,0.0222
16,0.14543,0.07999,0.5728,0.8927,0,0,40.88,0.021,1.1428,0.0,0.0001,0,0.0269
17,0.1262,0.08,0.697,0.8927,0,0,36.14,0.021,1.2826,0.0,0.0,0,0.0315
18,0.10304,0.07999,0.6631,0.8927,0,0,37.37,0.021,1.4666,0.0,0.0002,0,0.0383
19,0.08493,0.08,0.745,0.8927,0,0,34.65,0.021,1.6258,0.0,0.0,0,0.0448
20,0.06151,0.08,0.7539,0.7539,1,0,36.17,0.021,1.8732,0.0,0.0,0,0.0555
21,0.0441,0.08,0.6902,0.7539,0,0,31.06,0.021,2.1417,0.0,0.0,0,0.0662
22,0.02874,0.08,0.6199,0.7539,0,0,32.3,0.021,2.5359,0.0,0.0001,0,0.0794
23,0.02207,0.08,0.6496,0.7539,0,0,29.95,0.02314,2.7864,0.0,0.0,0,0.087
24,0.01684,0.08,0.1413,0.7539,0,0,31.05,0.02831,3.0241,0.0,0.0,0,0.0938
25,0.01222,0.07996,0.2958,0.2958,1,0,26.28,0.02972,3.2651,0.0021,0.0011,0,0.1004
26,0.01306,0.08,0.5268,0.2958,0,0,27.22,0.02945,3.2193,0.0,0.0,0,0.0991
27,0.01011,0.08,0.3435,0.2958,0,0,28.06,0.03037,3.3835,0.0,0.0,0,0.1035
28,0.00889,0.08,0.1771,0.2958,0,0,28.32,0.03037,3.4537,0.0,0.0,0,0.1054
29,0.00565,0.07999,0.2615,0.2958,0,0,30.44,0.03065,3.6477,0.0013,0.0003,0,0.1105
30,0.00385,0.08,0.4438,0.4438,1,0,30.27,0.03122,3.759,0.0,0.0,0,0.1136
31,0.00663,0.07912,0.094,0.4438,0,0,29.43,0.03093,3.5885,0.0817,0.0233,0,0.1106
32,0.00653,0.07945,0.2711,0.4438,0,0,34.5,0.03099,3.5946,0.0512,0.0144,0,0.1102
33,0.00715,0.07719,0.0133,0.4438,0,0,37.83,0.03136,3.5569,0.2467,0.0739,0,0.1132
34,0.00974,0.07627,0.2406,0.4438,0,0,34.9,0.03083,3.4047,0.2529,0.0983,0,0.1092
35,0.00865,0.0792,0.1152,0.1152,1,0,35.57,0.03127,3.468,0.0603,0.0209,0,0.107
36,0.01089,0.07744,0.0699,0.1152,0,0,38.25,0.03078,3.339,0.1533,0.0674,0,0.1055
37,0.01409,0.07415,-0.1116,0.1152,0,0,34.01,0.03023,3.1642,0.2447,0.1539,0,0.1025
38,0.01309,0.07544,0.143,0.1152,0,0,30.47,0.03012,3.2177,0.2142,0.12,0,0.1033
39,0.01418,0.07213,-0.0825,0.1152,0,0,29.88,0.03013,3.1596,0.326,0.2071,0,0.104
40,0.01199,0.06582,-0.0592,-0.0592,1,1,23.42,0.02843,3.2776,0.7532,0.3732,0,0.1157
41,0.00632,0.06218,0.1414,-0.0592,0,1,4.18,0.02534,3.6072,1.6936,0.4689,0,0.1434
42,0.0043,0.05386,0.0805,-0.0592,0,1,9.36,0.02568,3.7311,2.9763,0.6879,1,0.1724
43,0.00656,0.05075,-0.056,-0.0592,0,1,11.58,0.02544,3.5924,2.7167,0.7696,1,0.1635
44,0.00597,0.05265,-0.0101,-0.0592,0,1,11.73,0.02557,3.6287,2.686,0.7197,1,0.1638
45,0.00486,0.0558,0.165,0.165,1,0,5.14,0.02833,3.6962,2.6242,0.6369,1,0.1644
46,0.01002,0.05649,-0.041,0.165,0,0,5.12,0.0304,3.3884,1.5449,0.6186,1,0.1346
47,0.00951,0.0586,0.1356,0.165,0,0,10.22,0.02883,3.4181,1.4849,0.5632,1,0.1342
48,0.00537,0.06482,0.0284,0.165,0,0,14.0,0.02683,3.665,1.5738,0.3996,0,0.1425
49,0.0048,0.06836,0.214,0.165,0,0,4.58,0.02938,3.7,1.2689,0.3063,0,0.1374
50,0.00824,0.06022,-0.0594,-0.0594,1,1,17.17,0.03121,3.4919,1.5609,0.5206,1,0.1376
51,0.01267,0.05402,0.088,-0.0594,0,1,15.75,0.03062,3.2403,1.2787,0.6836,1,0.1253
52,0.00934,0.0533,-0.0699,-0.0594,0,1,15.54,0.03026,3.4278,1.8843,0.7025,1,0.1424
53,0.00919,0.04686,0.0244,-0.0594,0,1,3.59,0.02997,3.4364,2.375,0.872,1,0.1525
54,0.00968,0.04515,-0.1064,-0.0594,0,1,4.75,0.03023,3.4083,2.3751,0.917,1,0.1517
55,0.00996,0.04584,-0.015,-0.015,1,1,8.68,0.02837,3.3917,2.2591,0.899,1,0.149
56,0.00893,0.04545,0.1326,-0.015,0,1,6.83,0.02918,3.4514,2.5426,0.9091,1,0.1563
57,0.00994,0.0443,0.1475,-0.015,0,1,11.89,0.02858,3.3931,2.3667,0.9395,1,0.1512
58,0.01166,0.04535,-0.2227,-0.015,0,1,11.97,0.02823,3.2959,1.9085,0.9117,1,0.1393
59,0.0081,0.04836,0.0079,-0.015,0,1,8.89,0.02752,3.5002,2.5314,0.8325,1,0.1572
60,0.00723,0.04605,-0.0185,-0.0185,1,1,6.23,0.02921,3.5521,2.9591,0.8935,1,0.1673
61,0.01006,0.04531,-0.0149,-0.0185,0,1,9.36,0.02847,3.3861,2.2704,0.9129,1,0.149
62,0.00782,0.04785,-0.0936,-0.0185,0,1,10.04,0.02808,3.5171,2.6461,0.8461,1,0.1601
63,0.00661,0.04589,-0.0113,-0.0185,0,1,7.18,0.02893,3.5895,3.1539,0.8976,1,0.1722
64,0.00922,0.04538,-0.0255,-0.0185,0,1,8.89,0.02857,3.4345,2.4731,0.911,1,0.1544
65,0.00776,0.04632,-0.0173,-0.0173,1,1,6.29,0.02809,3.5207,2.7888,0.8863,1,0.163
66,0.00737,0.04532,0.0479,-0.0173,0,1,4.67,0.03015,3.5441,2.9832,0.9125,1,0.1675
67,0.00876,0.04655,-0.1022,-0.0173,0,1,9.84,0.02873,3.4613,2.5043,0.8802,1,0.1557
68,0.00596,0.05014,0.044,-0.0173,0,1,10.01,0.02788,3.629,2.9335,0.7857,1,0.1688
69,0.00643,0.04557,0.0382,-0.0173,0,1,10.82,0.02925,3.6005,3.239,0.906,1,0.1742
70,0.01024,0.04368,0.013,0.013,1,0,12.2,0.02848,3.376,2.3332,0.9558,1,0.15
71,0.00748,0.05265,-0.0162,0.013,0,0,9.14,0.02747,3.5372,2.3266,0.7197,1,0.1541
72,0.00777,0.05738,-0.0284,0.013,0,0,3.86,0.03004,3.5203,1.8718,0.5953,1,0.1447
