step,gap,finger_sum,raw_grip_action,sent_grip_action,refresh,commands_close,yaw_to_cube_deg,cube_z,r_approach,r_fingers_on_cube,bump,held,reward_total
18,0.11261,0.07996,2.0593,1.9708,0,0,38.6,0.021,1.3883,0.0,0.0011,0,0.0353
19,0.09639,0.08,2.0011,1.9708,0,0,34.2,0.021,1.5231,0.0,0.0,0,0.0406
20,0.06896,0.07999,2.1788,2.1788,1,0,35.61,0.021,1.7862,0.0,0.0001,0,0.0517
21,0.04732,0.07998,2.0677,2.1788,0,0,34.59,0.021,2.0819,0.0,0.0005,0,0.0639
22,0.0321,0.08,1.9811,2.1788,0,0,29.13,0.021,2.4303,0.0,0.0,0,0.0761
23,0.01617,0.07999,2.0627,2.1788,0,0,30.17,0.021,3.0572,0.0003,0.0002,0,0.0946
24,0.01359,0.07659,2.069,2.1788,0,0,21.37,0.02261,3.1908,0.1513,0.0898,0,0.1013
25,0.01338,0.07934,2.0935,2.0935,1,0,19.29,0.02326,3.2018,0.0298,0.0173,0,0.0993
26,0.01454,0.08,2.0443,2.0935,0,0,14.55,0.02372,3.1404,0.0001,0.0001,0,0.097
27,0.01537,0.08,2.1388,2.0935,0,0,13.47,0.02381,3.0979,0.0,0.0,0,0.0958
28,0.01668,0.0799,2.2575,2.0935,0,0,18.62,0.02234,3.0322,0.0032,0.0028,0,0.094
29,0.01474,0.07669,2.0656,2.0935,0,0,16.9,0.02207,3.1301,0.1282,0.087,0,0.0992
30,0.01407,0.07679,2.1429,2.1429,1,0,16.86,0.02269,3.1653,0.1346,0.0844,0,0.1002
31,0.01471,0.07919,2.0413,2.1429,0,0,16.07,0.02274,3.1316,0.0314,0.0212,0,0.0974
32,0.01435,0.07938,2.1594,2.1429,0,0,15.98,0.02228,3.1505,0.0253,0.0164,0,0.0977
33,0.01544,0.07722,2.1397,2.1429,0,0,20.25,0.02142,3.0942,0.0995,0.0732,0,0.0977
34,0.0148,0.07792,1.9947,2.1429,0,0,18.21,0.02129,3.1273,0.0803,0.0548,0,0.0982
35,0.01652,0.08,2.2079,2.2079,1,0,16.95,0.02138,3.04,0.0,0.0,0,0.0942
36,0.01709,0.07979,2.1764,2.2079,0,0,16.75,0.02101,3.0121,0.0062,0.0056,0,0.0935
37,0.01442,0.07607,2.0131,2.2079,0,0,15.8,0.0215,3.147,0.1582,0.1033,0,0.1003
38,0.01418,0.07713,2.1108,2.2079,0,0,14.56,0.02132,3.1594,0.1191,0.0756,0,0.0998
39,0.01477,0.08,1.9743,2.2079,0,0,13.14,0.02162,3.1287,0.0,0.0,0,0.0966
40,0.01262,0.07905,2.1307,2.1307,1,0,10.84,0.02357,3.2428,0.0471,0.025,0,0.1006
41,0.01333,0.07416,2.0422,2.1307,0,0,8.41,0.02365,3.2043,0.2665,0.1536,0,0.104
42,0.00943,0.07464,2.1064,2.1307,0,0,6.18,0.02354,3.4227,0.3752,0.1411,0,0.1121
43,0.0078,0.07722,1.9263,2.1307,0,0,6.28,0.02447,3.5182,0.2289,0.073,0,0.1118
44,0.00779,0.07603,2.1608,2.1307,0,0,5.91,0.02414,3.5188,0.328,0.1046,0,0.1137
45,0.00821,0.07261,2.0453,2.0453,1,0,5.15,0.02448,3.4939,0.585,0.1944,0,0.1182
46,0.00724,0.0733,2.0834,2.0453,0,0,5.21,0.02404,3.5516,0.5832,0.1762,0,0.1196
47,0.00878,0.07511,1.967,2.0453,0,0,5.49,0.02423,3.4604,0.3652,0.1286,0,0.1129
48,0.00891,0.0759,2.1107,2.0453,0,0,5.58,0.02363,3.453,0.3023,0.1078,0,0.1114
49,0.00899,0.07176,2.0214,2.0453,0,0,4.48,0.02408,3.448,0.6029,0.2169,0,0.1174
50,0.0081,0.07337,2.1071,2.1071,1,0,3.9,0.02299,3.5002,0.5302,0.1744,0,0.1172
51,0.00898,0.07564,1.93,2.1071,0,0,4.22,0.02282,3.449,0.3195,0.1147,0,0.1117
52,0.00879,0.07656,2.1366,2.1071,0,0,4.08,0.02239,3.4601,0.2573,0.0906,0,0.1107
53,0.0083,0.07512,2.0039,2.1071,0,0,3.43,0.02243,3.4885,0.3832,0.1285,0,0.1141
54,0.00835,0.07571,2.0543,2.1071,0,0,4.06,0.0222,3.4858,0.3353,0.113,0,0.113
55,0.00912,0.07779,1.9802,1.9802,1,0,4.17,0.02259,3.4403,0.1596,0.0582,0,0.1083
56,0.00877,0.07649,2.1678,1.9802,0,0,5.45,0.0231,3.461,0.2624,0.0923,0,0.1108
57,0.00859,0.07421,2.1026,1.9802,0,0,4.6,0.02266,3.4717,0.4417,0.1525,0,0.1148
58,0.00805,0.07537,2.0305,1.9802,0,0,4.78,0.02149,3.5036,0.3724,0.1218,0,0.1142
59,0.00769,0.07727,1.9354,1.9802,0,0,4.13,0.02144,3.5251,0.2274,0.0718,0,0.1119
60,0.00685,0.07548,2.164,2.164,1,0,4.69,0.02106,3.5749,0.4081,0.1188,0,0.1168
61,0.00625,0.07276,2.0526,2.164,0,0,4.01,0.02156,3.6113,0.6929,0.1906,0,0.1235
62,0.00556,0.07345,2.0582,2.164,0,0,4.19,0.021,3.6535,0.6678,0.1724,0,0.124
63,0.00635,0.07332,1.9758,2.164,0,0,2.74,0.021,3.6053,0.6327,0.1757,0,0.1222
64,0.00613,0.07209,2.1151,2.164,0,0,2.16,0.02117,3.6187,0.765,0.2081,0,0.1251
65,0.00596,0.0687,2.0476,2.0476,1,0,1.69,0.0214,3.6288,1.1101,0.2974,0,0.1323
66,0.00475,0.06888,2.063,2.0476,0,0,3.3,0.02125,3.7032,1.2172,0.2925,0,0.1364
67,0.00307,0.0709,1.9695,2.0476,0,0,3.06,0.021,3.8074,1.147,0.2395,0,0.1378
68,0.00359,0.06999,2.1423,2.0476,0,0,2.8,0.021,3.7751,1.2099,0.2635,0,0.1381
69,0.00468,0.06832,2.0622,2.0476,0,0,2.36,0.0211,3.7075,1.287,0.3074,0,0.138
70,0.00409,0.06819,2.0637,2.0637,1,0,2.74,0.021,3.7439,1.3683,0.3107,0,0.1405
71,0.00273,0.07004,1.9546,2.0637,0,0,2.03,0.021,3.8284,1.2891,0.2621,0,0.1412
72,0.00319,0.0694,2.1921,2.0637,0,0,5.66,0.02101,3.7997,1.3222,0.2788,0,0.1411
73,0.00585,0.06694,2.097,2.0637,0,0,3.82,0.021,3.636,1.2966,0.3436,0,0.1362
74,0.00559,0.06883,2.1115,2.0637,0,0,1.98,0.021,3.6518,1.1353,0.2939,0,0.1333
75,0.0047,0.07075,1.9925,1.9925,1,0,1.31,0.021,3.7064,1.0171,0.2433,0,0.1325
76,0.00683,0.06951,2.1405,1.9925,0,0,0.75,0.021,3.5763,0.9501,0.276,0,0.1277
77,0.00955,0.06737,2.1525,1.9925,0,0,0.05,0.021,3.4157,0.8721,0.3322,0,0.1219
78,0.00792,0.06864,2.0831,1.9925,0,0,0.45,0.021,3.5114,0.9266,0.2991,0,0.1255
79,0.00697,0.07091,1.9604,1.9925,0,0,0.13,0.021,3.5679,0.8126,0.2393,0,0.1248
80,0.00559,0.06881,2.1797,2.1797,1,0,5.42,0.021,3.6519,1.1373,0.2944,0,0.1334
81,0.00782,0.06548,2.0066,2.1797,0,0,4.98,0.021,3.517,1.1948,0.3821,0,0.131
82,0.00542,0.06803,2.143,2.1797,0,0,4.29,0.021,3.6621,1.2354,0.315,0,0.1356
83,0.0038,0.07076,2.0346,2.1797,0,0,3.75,0.021,3.7622,1.0974,0.2431,0,0.1356
84,0.00391,0.071,2.2209,2.1797,0,0,3.96,0.021,3.7553,1.0588,0.2368,0,0.1346
85,0.00418,0.07052,2.0609,2.0609,1,0,4.14,0.021,3.7383,1.0896,0.2494,0,0.1348
86,0.00317,0.07058,2.0478,2.0609,0,0,4.16,0.021,3.801,1.1778,0.248,0,0.1382
87,0.00393,0.07201,2.0641,2.0609,0,0,3.65,0.021,3.754,0.9385,0.2102,0,0.1322
88,0.00369,0.07172,2.2117,2.0609,0,0,3.94,0.021,3.769,0.9927,0.218,0,0.1337
89,0.00397,0.07076,2.0817,2.0609,0,0,3.37,0.021,3.7515,1.0818,0.2432,0,0.135
90,0.00373,0.0718,2.0314,2.0314,1,0,3.05,0.021,3.766,0.9788,0.2158,0,0.1333
91,0.00441,0.0732,2.0474,2.0314,0,0,2.71,0.021,3.7239,0.7661,0.1789,0,0.128
92,0.00431,0.07225,2.2217,2.0314,0,0,3.05,0.021,3.7303,0.8819,0.2041,0,0.1304
93,0.00229,0.07323,2.1108,2.0314,0,0,5.8,0.021,3.856,0.9075,0.1783,0,0.1343
94,0.00128,0.07203,1.9213,2.0314,0,0,6.17,0.021,3.9192,1.1509,0.2097,0,0.1408
95,0.00294,0.07029,2.2519,2.2519,1,0,5.64,0.021,3.8152,1.236,0.2555,0,0.1397
96,0.00428,0.06943,2.0384,2.2519,0,0,4.91,0.021,3.7323,1.2056,0.2782,0,0.137
97,0.00267,0.07149,2.0562,2.2519,0,0,4.87,0.021,3.8326,1.1077,0.224,0,0.1376
98,0.00329,0.07484,1.9819,2.2519,0,0,4.56,0.021,3.7934,0.6386,0.1358,0,0.1273
99,0.00214,0.07285,2.1407,2.2519,0,0,9.8,0.021,3.8657,0.9686,0.1881,0,0.1357
100,0.00391,0.07001,2.0811,2.0811,1,0,8.97,0.021,3.7551,1.1756,0.263,0,0.137
101,0.00246,0.07271,2.1615,2.0811,0,0,8.05,0.021,3.8452,0.9636,0.1918,0,0.135
102,0.00423,0.07618,1.9645,2.0811,0,0,7.93,0.021,3.7351,0.4375,0.1006,0,0.1217
103,0.00299,0.07414,2.1767,2.0811,0,0,8.59,0.021,3.8121,0.7424,0.1541,0,0.1298
104,0.00356,0.07163,2.0856,2.0811,0,0,8.0,0.021,3.7771,1.0144,0.2204,0,0.1343
105,0.00316,0.0734,2.1437,2.1437,1,0,7.97,0.021,3.8016,0.8254,0.1736,0,0.1311
106,0.00531,0.07577,1.9412,2.1437,0,0,7.58,0.021,3.6686,0.4411,0.1114,0,0.12
107,0.00414,0.07373,2.1102,2.1437,0,0,7.63,0.021,3.7411,0.7241,0.1651,0,0.1275
108,0.00413,0.07158,2.04,2.1437,0,0,6.94,0.021,3.7412,0.9719,0.2215,0,0.1325
109,0.00386,0.07273,2.0983,2.1437,0,0,6.91,0.021,3.7583,0.8591,0.1914,0,0.1307
110,0.00507,0.07501,1.9827,1.9827,1,0,6.72,0.021,3.6834,0.5307,0.1312,0,0.1222
111,0.00446,0.07299,2.2119,1.9827,0,0,8.09,0.021,3.7212,0.7868,0.1844,0,0.1283
112,0.00527,0.07197,2.0475,1.9827,0,0,7.36,0.021,3.6712,0.8403,0.2114,0,0.1281
113,0.00507,0.07385,2.0492,1.9827,0,0,6.69,0.021,3.6838,0.6555,0.162,0,0.1246
114,0.00631,0.07565,2.0288,1.9827,0,0,6.31,0.021,3.6078,0.4137,0.1144,0,0.1179
115,0.00587,0.07366,2.2268,2.2268,1,0,8.63,0.021,3.6346,0.6286,0.1669,0,0.1228
116,0.00576,0.07264,2.0378,2.2268,0,0,7.9,0.02102,3.6413,0.7365,0.1937,0,0.1252
117,0.00542,0.07374,2.0681,2.2268,0,0,8.2,0.02106,3.6619,0.6464,0.1649,0,0.1239
118,0.00507,0.07429,2.0579,2.2268,0,0,7.81,0.02101,3.6832,0.6076,0.1503,0,0.1237
119,0.00469,0.07276,2.1936,2.2268,0,0,7.95,0.021,3.707,0.7969,0.1905,0,0.1281
120,0.00529,0.07221,2.039,2.039,1,0,6.97,0.021,3.67,0.8129,0.2049,0,0.1275
121,0.0048,0.07252,2.0825,2.039,0,0,7.35,0.021,3.7003,0.8159,0.1969,0,0.1283
122,0.00509,0.07447,1.9914,2.039,0,0,6.86,0.021,3.6822,0.5874,0.1455,0,0.1233
123,0.00462,0.07223,2.1772,2.039,0,0,6.9,0.021,3.7115,0.8608,0.2045,0,0.1295
124,0.00487,0.06967,2.02,2.039,0,0,6.18,0.021,3.696,1.1194,0.2718,0,0.1343
125,0.00455,0.07175,2.1491,2.1491,1,0,5.99,0.021,3.7153,0.9189,0.2171,0,0.1307
126,0.00539,0.07349,1.873,2.1491,0,0,5.99,0.02101,3.6638,0.674,0.1714,0,0.1246
127,0.00525,0.07062,2.1356,2.1491,0,0,11.6,0.02123,3.6723,0.9829,0.2469,0,0.1309
128,0.00594,0.06783,2.0271,2.1491,0,0,11.24,0.02122,3.6305,1.1988,0.3203,0,0.1341
129,0.00407,0.07096,2.1431,2.1491,0,0,10.55,0.02106,3.7452,1.0497,0.238,0,0.1341
130,0.00311,0.07407,1.9599,1.9599,1,0,10.55,0.02111,3.8046,0.745,0.1561,0,0.1297
131,0.00417,0.07126,2.2097,1.9599,0,0,13.27,0.02113,3.7389,1.0062,0.2301,0,0.1331
132,0.00636,0.06823,2.1104,1.9599,0,0,12.71,0.02101,3.605,1.1154,0.3098,0,0.1318
133,0.00517,0.07077,2.1956,1.9599,0,0,12.03,0.021,3.6775,0.9742,0.2429,0,0.1308
134,0.00405,0.07442,1.9014,1.9599,0,0,11.31,0.021,3.7467,0.6484,0.1467,0,0.1262
135,0.00386,0.07279,2.1363,2.1363,1,0,13.39,0.021,3.7579,0.8511,0.1897,0,0.1305
136,0.00541,0.07126,2.0962,2.1363,0,0,12.88,0.021,3.6623,0.9022,0.2299,0,0.1291
137,0.00497,0.0734,2.1379,2.1363,0,0,12.7,0.021,3.6895,0.7083,0.1736,0,0.1258
138,0.00515,0.07596,1.9965,2.1363,0,0,12.36,0.021,3.6784,0.4269,0.1063,0,0.12
139,0.00481,0.07469,2.1888,2.1363,0,0,12.34,0.021,3.6992,0.5787,0.1399,0,0.1235
140,0.00484,0.07449,2.0168,2.0168,1,0,10.06,0.021,3.6974,0.599,0.1451,0,0.1239
141,0.00378,0.0738,2.0932,2.0168,0,0,10.2,0.021,3.7629,0.7372,0.1632,0,0.1284
142,0.00224,0.07321,1.9993,2.0168,0,0,9.57,0.021,3.8595,0.9137,0.1787,0,0.1345
143,0.00271,0.07209,2.283,2.0168,0,0,9.71,0.021,3.8299,1.0257,0.2081,0,0.1359
144,0.00336,0.0738,2.052,2.0168,0,0,9.66,0.021,3.7893,0.7629,0.1631,0,0.1296
145,0.00211,0.07328,1.9447,1.9447,1,0,9.76,0.021,3.8675,0.9123,0.1767,0,0.1347
146,0.00271,0.06997,2.2172,1.9447,0,0,9.51,0.021,3.8296,1.3004,0.264,0,0.1414
147,0.00275,0.0718,2.1413,1.9447,0,0,8.42,0.021,3.8274,1.0599,0.2158,0,0.1366
148,0.00286,0.0736,1.9457,1.9447,0,0,8.71,0.021,3.8206,0.8202,0.1684,0,0.1316
149,0.0028,0.0701,2.173,1.9447,0,0,8.07,0.021,3.8243,1.2745,0.2604,0,0.1407
150,0.00445,0.06858,2.0879,2.0879,1,0,7.09,0.021,3.7218,1.2837,0.3006,0,0.1383
151,0.00257,0.07035,2.0572,2.0879,0,0,7.54,0.021,3.8385,1.2655,0.254,0,0.1409
152,0.00284,0.07312,2.0117,2.0879,0,0,7.49,0.021,3.8218,0.8831,0.181,0,0.1329
153,0.00278,0.0707,2.1427,2.0879,0,0,7.51,0.021,3.8256,1.1992,0.2446,0,0.1393
154,0.00436,0.06842,2.0383,2.0879,0,0,6.67,0.021,3.7272,1.3114,0.3047,0,0.139
155,0.00294,0.07089,2.0629,2.0629,1,0,6.49,0.021,3.8154,1.1602,0.2398,0,0.1382
156,0.00399,0.07381,1.9595,2.0629,0,0,6.32,0.021,3.7503,0.7232,0.1628,0,0.1278
157,0.00243,0.071,2.1945,2.0629,0,0,10.61,0.021,3.8472,1.1929,0.2369,0,0.1397
158,0.00441,0.06877,2.0433,2.0629,0,0,10.08,0.021,3.7241,1.266,0.2955,0,0.138
159,0.00345,0.07086,2.1455,2.0629,0,0,9.69,0.021,3.7837,1.1176,0.2406,0,0.1365
160,0.0044,0.07466,1.9255,1.9255,1,0,9.67,0.021,3.7246,0.6028,0.1406,0,0.1247
161,0.00418,0.07217,2.1605,1.9255,0,0,14.72,0.021,3.7384,0.9005,0.2061,0,0.131
162,0.00461,0.06903,2.0659,1.9255,0,0,13.97,0.021,3.7116,1.2161,0.2888,0,0.1366
163,0.00378,0.07192,2.1785,1.9255,0,0,13.02,0.021,3.7631,0.9609,0.2126,0,0.1328
164,0.00509,0.07408,1.9519,1.9255,0,0,13.28,0.02105,3.6823,0.6292,0.1558,0,0.1241
165,0.00291,0.07153,2.1693,2.1693,1,0,13.66,0.02105,3.8171,1.0812,0.223,0,0.1367
166,0.0036,0.06971,2.0482,2.1693,0,0,13.25,0.021,3.7745,1.2425,0.2708,0,0.1388
167,0.00333,0.0716,2.1151,2.1693,0,0,13.64,0.021,3.7913,1.0371,0.2211,0,0.1351
168,0.00399,0.07474,1.957,2.1693,0,0,13.45,0.021,3.7504,0.6144,0.1383,0,0.1257
169,0.00316,0.07294,2.136,2.1693,0,0,13.56,0.021,3.8019,0.8837,0.1858,0,0.1323
170,0.00419,0.06908,1.9843,1.9843,1,0,12.95,0.021,3.738,1.2551,0.2874,0,0.1381
171,0.00354,0.07112,2.1873,1.9843,0,0,12.45,0.02099,3.7778,1.0769,0.2337,0,0.1356
172,0.00467,0.07369,1.9483,1.9843,0,0,12.4,0.02121,3.7084,0.6958,0.166,0,0.1262
173,0.00379,0.07172,2.1325,1.9843,0,0,12.42,0.02099,3.7626,0.9837,0.2178,0,0.1333
174,0.0044,0.06938,2.0016,1.9843,0,0,11.71,0.021,3.7249,1.1991,0.2795,0,0.1367
175,0.00387,0.07103,2.1582,2.1582,1,0,11.76,0.02105,3.7576,1.0588,0.236,0,0.1347
176,0.00439,0.07332,1.9029,2.1582,0,0,11.69,0.02117,3.7255,0.7553,0.1759,0,0.1278
177,0.00346,0.07072,2.0946,2.1582,0,0,11.74,0.021,3.7831,1.1327,0.2441,0,0.1368
178,0.00532,0.06728,1.988,2.1582,0,0,10.33,0.02126,3.6679,1.3242,0.3348,0,0.1376
179,0.00551,0.06922,2.1436,2.1582,0,0,10.53,0.02232,3.6568,1.1038,0.2836,0,0.1329
180,0.00588,0.07188,1.9704,1.9704,1,0,10.21,0.02305,3.6338,0.8037,0.2137,0,0.1263
181,0.00647,0.07013,2.1406,1.9704,0,0,10.56,0.02322,3.5984,0.9255,0.2598,0,0.1278
182,0.00694,0.06929,1.9981,1.9704,0,0,11.26,0.02298,3.5695,0.9596,0.2818,0,0.1277
183,0.00722,0.07069,2.1136,1.9704,0,0,12.41,0.02384,3.553,0.8125,0.245,0,0.1243
184,0.0077,0.07288,1.9752,1.9704,0,0,12.45,0.02437,3.5244,0.5933,0.1874,0,0.1192
185,0.00781,0.0698,2.2069,2.2069,1,0,15.93,0.025,3.5176,0.8405,0.2685,0,0.1239
186,0.01133,0.06678,2.0158,2.2069,0,0,12.58,0.02735,3.3142,0.7548,0.3478,0,0.1168
187,0.01123,0.06906,2.1898,2.2069,0,0,10.32,0.0282,3.3198,0.6315,0.2879,0,0.1144
188,0.00961,0.07251,1.9248,2.2069,0,0,8.22,0.02846,3.412,0.5137,0.197,0,0.1146
189,0.01411,0.07008,2.1468,2.2069,0,0,11.04,0.0281,3.1632,0.4144,0.2611,0,0.1058
190,0.01622,0.06773,2.0373,2.0373,1,0,7.03,0.0267,3.0548,0.3996,0.3229,0,0.1026
191,0.0121,0.07114,2.2263,2.0373,0,0,3.05,0.02557,3.2717,0.4653,0.2333,0,0.1098
192,0.00815,0.07467,1.8596,2.0373,0,0,1.24,0.02436,3.4977,0.425,0.1404,0,0.1152
193,0.01161,0.07228,2.1414,2.0373,0,0,5.26,0.02306,3.2986,0.4278,0.2033,0,0.1098
194,0.0126,0.07091,2.0724,2.0373,0,0,5.0,0.02293,3.2442,0.451,0.2392,0,0.1088
195,0.00883,0.07463,2.203,2.203,1,0,3.81,0.02298,3.4575,0.3992,0.1412,0,0.1134
196,0.00591,0.07771,1.895,2.203,0,0,3.24,0.02287,3.6323,0.2261,0.0603,0,0.1148
197,0.00989,0.07408,2.1177,2.203,0,0,8.4,0.02251,3.3962,0.3947,0.1558,0,0.1118
198,0.01142,0.07118,2.0368,2.203,0,0,7.55,0.022,3.3094,0.4992,0.2322,0,0.1115
199,0.00668,0.07437,2.2235,2.203,0,0,4.25,0.0221,3.5857,0.5176,0.1482,0,0.1192
200,0.00248,0.07715,1.887,1.887,1,0,2.42,0.02202,3.8441,0.3759,0.0749,0,0.1234
201,0.00319,0.07442,2.1309,1.887,0,0,3.13,0.02177,3.8001,0.6969,0.1469,0,0.1286
202,0.00418,0.07319,2.2021,1.887,0,0,2.12,0.02134,3.7384,0.7827,0.1791,0,0.1287
203,0.00271,0.07586,2.1486,1.887,0,0,1.97,0.021,3.8297,0.5368,0.109,0,0.1261
204,0.00303,0.07795,1.9682,1.887,0,0,1.48,0.021,3.8097,0.2588,0.0539,0,0.1201
205,0.00113,0.07598,2.2009,2.2009,1,0,1.56,0.021,3.9292,0.5874,0.1058,0,0.1298
206,0.00132,0.0753,2.0096,2.2009,0,0,2.59,0.021,3.9167,0.6763,0.1236,0,0.1313
207,0.00124,0.07529,2.0807,2.2009,0,0,2.42,0.021,3.9217,0.6823,0.124,0,0.1315
208,0.00236,0.07509,1.8585,2.2009,0,0,2.74,0.021,3.8518,0.6545,0.1293,0,0.1291
209,0.00223,0.07235,2.2153,2.2009,0,0,0.25,0.021,3.8598,1.0295,0.2013,0,0.1368
210,0.00361,0.07097,2.1594,2.1594,1,0,0.02,0.021,3.7737,1.089,0.2376,0,0.1357
211,0.00174,0.07475,2.1534,2.1594,0,0,0.27,0.021,3.8907,0.7329,0.1381,0,0.1316
212,0.00308,0.07738,1.9204,2.1594,0,0,0.38,0.021,3.8064,0.3293,0.0689,0,0.1214
213,0.00325,0.07451,2.1359,2.1594,0,0,3.41,0.021,3.7959,0.682,0.1445,0,0.1281
214,0.00336,0.07173,2.0885,2.1594,0,0,3.08,0.021,3.7891,1.0178,0.2176,0,0.1347
215,0.00256,0.07473,2.2418,2.2418,1,0,2.37,0.021,3.8395,0.691,0.1386,0,0.1294
216,0.0045,0.0763,1.9142,2.2418,0,0,2.43,0.021,3.7186,0.4138,0.0973,0,0.1208
217,0.00282,0.07425,2.154,2.2418,0,0,2.62,0.021,3.8231,0.7396,0.1514,0,0.13
218,0.00306,0.07252,2.0369,2.2418,0,0,2.18,0.021,3.8078,0.9429,0.1968,0,0.1337
219,0.0039,0.07474,2.1511,2.2418,0,0,2.0,0.021,3.7556,0.6196,0.1385,0,0.1258
220,0.00463,0.0763,1.907,1.907,1,0,1.52,0.021,3.7104,0.4094,0.0974,0,0.1205
221,0.00346,0.07459,2.2026,1.907,0,0,1.72,0.021,3.7832,0.6606,0.1423,0,0.1274
222,0.00385,0.07447,2.0805,1.907,0,0,1.87,0.021,3.7588,0.6532,0.1454,0,0.1266
223,0.00344,0.07461,2.1384,1.907,0,0,1.61,0.021,3.7845,0.6589,0.1417,0,0.1274
224,0.00365,0.07473,1.9009,1.907,0,0,1.97,0.021,3.771,0.6327,0.1386,0,0.1266
225,0.00102,0.07175,2.2108,2.2108,1,0,1.0,0.021,3.9361,1.2148,0.2172,0,0.1425
226,0.00266,0.07015,2.1615,2.2108,0,0,0.67,0.021,3.8332,1.282,0.2591,0,0.1412
227,0.0028,0.07277,2.1482,2.2108,0,0,0.23,0.021,3.824,0.9302,0.1902,0,0.1338
228,0.00503,0.07561,1.9392,2.2108,0,0,0.11,0.021,3.6859,0.4693,0.1156,0,0.121
229,0.00351,0.07287,2.1259,2.2108,0,0,0.16,0.021,3.7801,0.8676,0.1877,0,0.1314
230,0.00324,0.07116,2.0215,2.0215,1,0,0.53,0.021,3.797,1.0992,0.2326,0,0.1366
231,0.00399,0.07295,2.1542,2.0215,0,0,0.53,0.021,3.7504,0.8238,0.1854,0,0.1298
232,0.00483,0.07431,2.0204,2.0215,0,0,0.99,0.021,3.6982,0.6185,0.1497,0,0.1244
233,0.00388,0.07224,2.2192,2.0215,0,0,0.74,0.02121,3.7572,0.915,0.2041,0,0.1318
234,0.00342,0.07135,1.9821,2.0215,0,0,0.18,0.02205,3.7854,1.0594,0.2276,0,0.1355
235,0.00225,0.07316,2.0915,2.0915,1,0,0.28,0.02242,3.8585,0.9187,0.1799,0,0.1345
236,0.00202,0.07468,2.0308,2.0915,0,0,0.73,0.02233,3.8729,0.727,0.1399,0,0.1312
237,0.00519,0.07173,2.2176,2.0915,0,0,0.39,0.02159,3.6763,0.8713,0.2176,0,0.1288
238,0.00709,0.07083,1.9625,2.0915,0,0,1.88,0.02125,3.5604,0.8097,0.2412,0,0.1245
239,0.00549,0.07285,2.1927,2.0915,0,0,2.47,0.02156,3.6575,0.7331,0.1882,0,0.1255
240,0.00323,0.07648,1.9771,1.9771,1,0,2.95,0.02157,3.7973,0.4378,0.0926,0,0.1234
241,0.00368,0.07348,2.1581,1.9771,0,0,2.81,0.02125,3.7693,0.7822,0.1717,0,0.1294
242,0.00526,0.07151,2.0557,1.9771,0,0,3.49,0.021,3.6716,0.8881,0.2233,0,0.129
243,0.00313,0.07365,2.1784,1.9771,0,0,3.6,0.021,3.8037,0.7968,0.1672,0,0.1306
244,0.00198,0.07638,1.9553,1.9771,0,0,4.13,0.021,3.8754,0.4971,0.0954,0,0.1266
245,0.00434,0.07417,2.1703,2.1703,1,0,1.07,0.021,3.7283,0.6614,0.1535,0,0.126
246,0.00593,0.07146,2.0962,2.1703,0,0,0.74,0.021,3.6311,0.8421,0.2248,0,0.127
247,0.00274,0.07457,2.1815,2.1703,0,0,0.52,0.021,3.8278,0.7027,0.143,0,0.1293
