step,cube_z,lowest_corner,tilt_deg,finger_sum,gap
0,0.05206,0.03106,0.0,0.08,0.33681
1,0.04519,0.02419,0.0,0.07996,0.33461
2,0.0344,0.0134,0.0,0.08,0.33827
3,0.021,-4e-05,0.1,0.08,0.34622
4,0.021,-0.0,0.0,0.08,0.34337
5,0.021,-0.0,0.0,0.08,0.34186
6,0.021,-0.0,0.0,0.08,0.34104
7,0.021,-0.0,0.0,0.08,0.34095
8,0.021,-0.0,0.0,0.08,0.34061
9,0.021,-0.0,0.0,0.08,0.33868
10,0.021,-0.0,0.0,0.08,0.3331
11,0.021,-0.0,0.0,0.07998,0.32293
12,0.021,-0.0,0.0,0.07995,0.3079
13,0.021,-0.0,0.0,0.07992,0.28876
14,0.021,-0.0,0.0,0.07991,0.26696
15,0.021,-0.0,0.0,0.0799,0.24252
16,0.021,-0.0,0.0,0.07994,0.21858
17,0.021,-0.0,0.0,0.07997,0.19254
18,0.021,-0.0,0.0,0.08,0.16921
19,0.021,-0.0,0.0,0.07999,0.14487
20,0.021,-0.0,0.0,0.08,0.1247
21,0.021,-0.0,0.0,0.07998,0.10406
22,0.021,-0.0,0.0,0.08,0.08641
23,0.021,-0.0,0.0,0.07999,0.06866
24,0.021,-0.0,0.0,0.08,0.05273
25,0.021,-0.0,0.0,0.07999,0.03989
26,0.02155,-0.00062,2.3,0.0787,0.03478
27,0.02735,0.00097,17.2,0.07928,0.02752
28,0.02966,0.00121,28.1,0.08,0.02107
29,0.03141,0.00169,45.0,0.08,0.01618
30,0.02928,0.00188,69.2,0.07999,0.01304
31,0.02367,0.00055,87.6,0.07779,0.01586
32,0.02136,7e-05,89.3,0.07908,0.01287
33,0.021,-0.0,90.0,0.07906,0.01237
34,0.021,-0.0,90.0,0.079,0.01219
35,0.021,-0.0,90.0,0.07279,0.01181
36,0.021,-0.0,90.0,0.06472,0.01227
37,0.02217,7e-05,87.1,0.05665,0.01074
38,0.02365,0.0004,83.5,0.04848,0.01023
39,0.02703,0.0029,82.3,0.04547,0.01023
40,0.03015,0.00508,81.0,0.04538,0.01025
41,0.03329,0.00733,79.8,0.04538,0.01024
42,0.03658,0.0098,78.7,0.04538,0.01023
43,0.04015,0.01251,77.6,0.04538,0.01024
44,0.0439,0.01541,76.1,0.04537,0.01026
45,0.04719,0.01802,74.8,0.04537,0.01027
46,0.04979,0.02009,73.7,0.04537,0.01027
47,0.05122,0.02125,73.0,0.04536,0.01024
48,0.05141,0.02141,72.8,0.04536,0.01023
49,0.05159,0.02157,72.7,0.04536,0.01021
50,0.05176,0.02171,72.6,0.04536,0.0102
51,0.05173,0.02169,72.6,0.04535,0.01018
52,0.05186,0.02181,72.5,0.04536,0.0102
53,0.05187,0.02182,72.5,0.04535,0.0102
54,0.05187,0.02182,72.5,0.04535,0.0102
55,0.05179,0.02177,72.6,0.04535,0.01024
56,0.05037,0.02057,73.1,0.04536,0.01023
57,0.0479,0.01864,73.9,0.04535,0.01025
58,0.04605,0.01725,74.1,0.04539,0.01024
59,0.04516,0.01663,74.1,0.04543,0.01024
60,0.03885,0.01166,77.0,0.0454,0.01022
61,0.03399,0.00778,79.2,0.04541,0.0102
62,0.03527,0.00876,79.0,0.04538,0.01023
63,0.03712,0.01016,78.5,0.04538,0.01024
64,0.03894,0.01154,77.9,0.04538,0.01023
65,0.04073,0.0129,77.2,0.04536,0.01004
66,0.04474,0.01616,75.7,0.04538,0.01018
67,0.04799,0.0187,74.3,0.04537,0.01019
68,0.05015,0.02041,73.3,0.04537,0.01019
69,0.0517,0.02162,72.7,0.04537,0.01022
70,0.05154,0.02153,72.7,0.04535,0.01018
71,0.05154,0.02153,72.7,0.04535,0.0102
72,0.05155,0.02154,72.7,0.04535,0.0102
73,0.05154,0.02154,72.7,0.04535,0.01019
74,0.05154,0.02153,72.7,0.04535,0.0102
75,0.05154,0.02153,72.7,0.04535,0.0102
76,0.05153,0.02153,72.7,0.04535,0.0102
77,0.05154,0.02153,72.7,0.04535,0.01019
78,0.05154,0.02153,72.7,0.04535,0.0102
79,0.05154,0.02153,72.7,0.04535,0.0102
80,0.05154,0.02153,72.7,0.04535,0.0102
81,0.05154,0.02153,72.7,0.04535,0.0102
82,0.05154,0.02153,72.7,0.04535,0.0102
83,0.05154,0.02153,72.7,0.04535,0.0102
84,0.05154,0.02153,72.7,0.04535,0.01019
85,0.05154,0.02153,72.7,0.04535,0.0102
86,0.05154,0.02153,72.7,0.04535,0.01019
87,0.05154,0.02153,72.7,0.04535,0.01019
88,0.05154,0.02154,72.7,0.04535,0.0102
89,0.05154,0.02153,72.7,0.04535,0.0102
90,0.05154,0.02153,72.7,0.04535,0.0102
91,0.05154,0.02153,72.7,0.04535,0.0102
92,0.05154,0.02153,72.7,0.04535,0.0102
93,0.05154,0.02153,72.7,0.04535,0.0102
94,0.05154,0.02153,72.7,0.04535,0.0102
95,0.05154,0.02153,72.7,0.04535,0.0102
