step,cube_z,lowest_corner,tilt_deg,finger_sum,gap
0,0.05206,0.03106,0.0,0.08,0.33683
1,0.04519,0.02419,0.0,0.08,0.33583
2,0.0344,0.0134,0.0,0.08,0.3404
3,0.021,-4e-05,0.1,0.08,0.35007
4,0.021,-0.0,0.0,0.08,0.34866
5,0.021,-0.0,0.0,0.08,0.34749
6,0.021,-0.0,0.0,0.08,0.34727
7,0.021,-0.0,0.0,0.08,0.34621
8,0.021,-0.0,0.0,0.08,0.34319
9,0.021,-0.0,0.0,0.07998,0.33541
10,0.021,-0.0,0.0,0.07997,0.32329
11,0.021,-0.0,0.0,0.07995,0.30617
12,0.021,-0.0,0.0,0.07996,0.28704
13,0.021,-0.0,0.0,0.07999,0.26653
14,0.021,-0.0,0.0,0.07999,0.24491
15,0.021,-0.0,0.0,0.08,0.22377
16,0.021,-0.0,0.0,0.07999,0.2015
17,0.021,-0.0,0.0,0.08,0.18113
18,0.021,-0.0,0.0,0.07999,0.15989
19,0.021,-0.0,0.0,0.08,0.14139
20,0.021,-0.0,0.0,0.07999,0.12234
21,0.021,-0.0,0.0,0.08,0.10566
22,0.021,-0.0,0.0,0.07999,0.08765
23,0.021,-0.0,0.0,0.08,0.07106
24,0.021,-0.0,0.0,0.08,0.05281
25,0.021,-0.0,0.0,0.08,0.0361
26,0.021,-0.0,0.0,0.08,0.018
27,0.021,-0.0,0.0,0.08,0.00628
28,0.02104,3e-05,0.0,0.07822,0.01061
29,0.021,-0.0,0.0,0.08,0.00855
30,0.021,-0.0,0.0,0.07572,0.00996
31,0.021,-0.0,0.0,0.07167,0.01215
32,0.02091,-0.00059,1.0,0.06313,0.01362
33,0.02113,1e-05,0.3,0.05984,0.01435
34,0.02098,-0.00024,0.5,0.0543,0.01422
35,0.02146,8e-05,1.0,0.04506,0.01432
36,0.02228,0.00015,2.2,0.0433,0.01462
37,0.02354,0.00049,4.3,0.04451,0.01478
38,0.02559,0.00176,5.9,0.04519,0.01465
39,0.02854,0.00381,7.7,0.04523,0.01466
40,0.03231,0.00655,9.9,0.0452,0.01461
41,0.03725,0.0104,12.3,0.04519,0.01465
42,0.04293,0.01493,15.1,0.04515,0.01468
43,0.04885,0.01968,18.3,0.04511,0.01468
44,0.05572,0.02577,20.7,0.04515,0.01468
45,0.06278,0.03217,23.2,0.04514,0.01474
46,0.05899,0.02829,22.8,0.04511,0.01459
47,0.05124,0.02065,22.0,0.04511,0.01453
48,0.04622,0.01647,19.6,0.04511,0.01458
49,0.04839,0.01822,20.8,0.04516,0.01445
50,0.05144,0.02062,22.6,0.04511,0.01454
51,0.05363,0.02237,24.0,0.0451,0.01454
52,0.05598,0.02425,25.5,0.04509,0.01451
53,0.05819,0.02606,26.8,0.0451,0.01467
54,0.05733,0.0254,26.1,0.04511,0.01448
55,0.05597,0.02429,25.3,0.04514,0.0145
56,0.0552,0.02364,24.9,0.0451,0.01452
57,0.05521,0.02364,25.0,0.04509,0.01451
58,0.05585,0.02416,25.3,0.04509,0.01452
59,0.05554,0.02391,25.1,0.04511,0.01448
60,0.05421,0.02285,24.3,0.04512,0.01447
61,0.0513,0.02051,22.6,0.04511,0.01446
62,0.04914,0.01878,21.3,0.04509,0.01445
63,0.04852,0.01827,21.0,0.04508,0.01445
64,0.04826,0.01808,20.8,0.04509,0.01444
65,0.0472,0.01725,20.2,0.04511,0.01444
66,0.0462,0.01647,19.5,0.0451,0.01444
67,0.04537,0.01585,19.0,0.04508,0.01443
68,0.04528,0.01578,18.9,0.04508,0.01444
69,0.04565,0.01605,19.2,0.04509,0.01444
70,0.04587,0.01623,19.3,0.04509,0.01445
71,0.04552,0.01596,19.1,0.04508,0.01445
72,0.04497,0.01552,18.8,0.04508,0.01445
73,0.04465,0.01527,18.6,0.04508,0.01445
74,0.04475,0.01535,18.6,0.04508,0.01444
75,0.04492,0.01549,18.8,0.04508,0.01444
76,0.04496,0.01552,18.8,0.04508,0.01444
77,0.04482,0.01541,18.7,0.04508,0.01445
78,0.04471,0.01532,18.6,0.04508,0.01444
79,0.04468,0.0153,18.6,0.04508,0.01444
80,0.04471,0.01533,18.6,0.04508,0.01444
81,0.04478,0.01538,18.7,0.04508,0.01444
82,0.04477,0.01537,18.7,0.04508,0.01444
83,0.04471,0.01532,18.6,0.04508,0.01445
84,0.04466,0.01528,18.6,0.04508,0.01444
85,0.04464,0.01527,18.6,0.04508,0.01445
86,0.04466,0.01528,18.6,0.04508,0.01444
87,0.04465,0.01528,18.6,0.04508,0.01445
88,0.04463,0.01526,18.6,0.04508,0.01445
89,0.0446,0.01524,18.6,0.04508,0.01445
90,0.04457,0.01521,18.5,0.04508,0.01445
91,0.04455,0.0152,18.5,0.04508,0.01444
92,0.04453,0.01519,18.5,0.04508,0.01445
93,0.04452,0.01518,18.5,0.04508,0.01445
94,0.0445,0.01516,18.5,0.04508,0.01444
95,0.04448,0.01515,18.5,0.04508,0.01444
96,0.04446,0.01513,18.5,0.04508,0.01445
97,0.04446,0.01513,18.5,0.04508,0.01444
98,0.04446,0.01513,18.5,0.04508,0.01444
99,0.04445,0.01512,18.5,0.04508,0.01444
100,0.04447,0.01514,18.5,0.04508,0.01444
101,0.04447,0.01514,18.5,0.04508,0.01444
102,0.04449,0.01515,18.5,0.04508,0.01444
103,0.04449,0.01515,18.5,0.04508,0.01444
104,0.04451,0.01517,18.5,0.04508,0.01444
105,0.04451,0.01517,18.5,0.04508,0.01444
106,0.04452,0.01518,18.5,0.04508,0.01444
107,0.04454,0.01519,18.5,0.04508,0.01444
108,0.04457,0.01522,18.5,0.04508,0.01444
109,0.04458,0.01522,18.6,0.04508,0.01444
110,0.04459,0.01523,18.6,0.04508,0.01444
111,0.04459,0.01523,18.6,0.04508,0.01444
112,0.04458,0.01523,18.6,0.04508,0.01444
113,0.04457,0.01521,18.5,0.04508,0.01445
114,0.04456,0.0152,18.5,0.04508,0.01444
115,0.04457,0.01521,18.5,0.04508,0.01444
116,0.04459,0.01523,18.6,0.04508,0.01444
117,0.04459,0.01523,18.6,0.04508,0.01444
118,0.04458,0.01523,18.6,0.04508,0.01444
119,0.04458,0.01522,18.6,0.04508,0.01444
120,0.04458,0.01522,18.6,0.04508,0.01444
