step,cube_z,lowest_corner,tilt_deg,finger_sum,gap
121,0.04459,0.01523,18.6,0.04508,0.01444
122,0.0446,0.01524,18.6,0.04508,0.01444
123,0.0446,0.01524,18.6,0.04508,0.01444
124,0.04461,0.01524,18.6,0.04508,0.01444
125,0.04461,0.01524,18.6,0.04508,0.01444
126,0.04461,0.01524,18.6,0.04508,0.01444
127,0.04461,0.01524,18.6,0.04508,0.01444
128,0.04461,0.01524,18.6,0.04508,0.01444
129,0.04461,0.01524,18.6,0.04508,0.01444
130,0.04461,0.01524,18.6,0.04508,0.01444
131,0.04461,0.01524,18.6,0.04508,0.01444
132,0.0446,0.01524,18.6,0.04508,0.01444
133,0.0446,0.01524,18.6,0.04508,0.01444
134,0.0446,0.01523,18.6,0.04508,0.01444
135,0.04459,0.01523,18.6,0.04508,0.01444
136,0.04459,0.01523,18.6,0.04508,0.01444
137,0.04459,0.01523,18.6,0.04508,0.01444
138,0.0446,0.01524,18.6,0.04508,0.01444
139,0.04461,0.01525,18.6,0.04508,0.01444
140,0.04462,0.01526,18.6,0.04508,0.01444
141,0.04461,0.01524,18.6,0.04508,0.01444
142,0.04459,0.01523,18.6,0.04508,0.01444
143,0.04457,0.01521,18.6,0.04508,0.01444
144,0.04456,0.01521,18.5,0.04508,0.01444
145,0.04458,0.01522,18.6,0.04508,0.01444
146,0.04458,0.01523,18.6,0.04508,0.01444
147,0.04458,0.01523,18.6,0.04508,0.01441
148,0.04458,0.01523,18.6,0.04508,0.01441
149,0.04458,0.01523,18.6,0.04507,0.01442
150,0.04458,0.01523,18.6,0.04508,0.01445
151,0.04458,0.01523,18.6,0.04507,0.01446
152,0.04458,0.01523,18.6,0.04507,0.01447
153,0.04458,0.01523,18.6,0.04507,0.01447
154,0.04458,0.01523,18.6,0.04507,0.01447
155,0.04457,0.01522,18.5,0.04508,0.01445
156,0.04457,0.01522,18.5,0.04508,0.01446
157,0.04457,0.01522,18.5,0.04507,0.01444
158,0.04457,0.01522,18.5,0.04508,0.01441
159,0.04457,0.01522,18.5,0.04507,0.01438
160,0.04457,0.01522,18.5,0.04508,0.01437
161,0.04457,0.01522,18.5,0.04508,0.01437
162,0.04457,0.01522,18.5,0.04507,0.01438
163,0.04457,0.01522,18.5,0.04507,0.01438
164,0.04457,0.01522,18.5,0.04507,0.01437
165,0.04468,0.0153,18.6,0.04508,0.01445
166,0.04468,0.0153,18.6,0.04508,0.01444
167,0.04468,0.0153,18.6,0.04508,0.01444
168,0.04468,0.0153,18.6,0.04508,0.01446
169,0.04468,0.0153,18.6,0.04508,0.01446
170,0.04468,0.0153,18.6,0.04508,0.01448
171,0.04468,0.0153,18.6,0.04507,0.0145
172,0.04468,0.0153,18.6,0.04507,0.01453
173,0.04468,0.0153,18.6,0.04507,0.01454
174,0.04468,0.0153,18.6,0.04507,0.01454
175,0.04468,0.0153,18.6,0.04507,0.01454
176,0.04468,0.0153,18.6,0.04507,0.01451
177,0.04468,0.0153,18.6,0.04507,0.01446
178,0.04469,0.01531,18.6,0.04508,0.01442
179,0.04469,0.01531,18.6,0.04508,0.01438
180,0.04469,0.01531,18.6,0.04508,0.01436
181,0.04469,0.01531,18.6,0.04508,0.01435
182,0.04469,0.01531,18.6,0.04508,0.01434
183,0.04469,0.01531,18.6,0.04508,0.01435
184,0.04469,0.01531,18.6,0.04508,0.01434
185,0.04469,0.01531,18.6,0.04508,0.01433
186,0.04469,0.01531,18.6,0.04507,0.01435
187,0.04469,0.01531,18.6,0.04507,0.01437
188,0.04476,0.01536,18.7,0.04508,0.01445
189,0.04476,0.01536,18.7,0.04508,0.01443
190,0.04476,0.01536,18.7,0.04508,0.01441
191,0.04476,0.01536,18.7,0.04508,0.0144
192,0.04476,0.01536,18.7,0.04507,0.01439
193,0.04476,0.01536,18.7,0.04508,0.01438
194,0.04476,0.01536,18.7,0.04508,0.01436
195,0.04476,0.01536,18.7,0.04508,0.01434
196,0.04476,0.01536,18.7,0.04507,0.01434
197,0.04476,0.01536,18.7,0.04507,0.01436
198,0.04476,0.01536,18.7,0.04507,0.01439
199,0.04476,0.01536,18.7,0.04507,0.01442
200,0.0448,0.01539,18.7,0.04508,0.01444
201,0.0448,0.01539,18.7,0.04508,0.0144
202,0.0448,0.01539,18.7,0.04507,0.01436
203,0.0448,0.01539,18.7,0.04508,0.01434
204,0.0448,0.01539,18.7,0.04508,0.01433
205,0.0448,0.01539,18.7,0.04508,0.01435
206,0.0448,0.01539,18.7,0.04507,0.01437
207,0.0448,0.01539,18.7,0.04507,0.0144
208,0.0448,0.01539,18.7,0.04508,0.01439
209,0.0448,0.01539,18.7,0.04507,0.01439
210,0.0448,0.01539,18.7,0.04507,0.0144
211,0.0448,0.01539,18.7,0.04507,0.01441
212,0.04485,0.01543,18.7,0.04507,0.01444
213,0.04485,0.01543,18.7,0.04508,0.01441
214,0.04485,0.01543,18.7,0.04508,0.01436
215,0.04485,0.01543,18.7,0.04508,0.01433
216,0.04485,0.01543,18.7,0.04508,0.01429
217,0.04485,0.01543,18.7,0.04508,0.01427
218,0.04503,0.01556,18.8,0.04508,0.01444
219,0.04503,0.01556,18.8,0.04508,0.0144
220,0.04503,0.01556,18.8,0.04507,0.01438
221,0.04503,0.01556,18.8,0.04508,0.01436
222,0.04503,0.01556,18.8,0.04508,0.01434
223,0.04503,0.01556,18.8,0.04507,0.01433
224,0.04513,0.01564,18.9,0.04507,0.01445
225,0.04513,0.01564,18.9,0.04508,0.01445
226,0.04513,0.01564,18.9,0.04508,0.01446
227,0.04513,0.01564,18.9,0.04507,0.01446
228,0.04513,0.01564,18.9,0.04508,0.01445
229,0.04513,0.01564,18.9,0.04508,0.01445
230,0.04513,0.01564,18.9,0.04508,0.01445
231,0.04513,0.01564,18.9,0.04507,0.01449
232,0.04513,0.01564,18.9,0.04507,0.01454
233,0.04513,0.01564,18.9,0.04507,0.01458
234,0.045,0.01555,18.8,0.04508,0.01446
235,0.045,0.01555,18.8,0.04508,0.01448
236,0.045,0.01555,18.8,0.04508,0.0145
237,0.045,0.01555,18.8,0.04508,0.0145
238,0.045,0.01555,18.8,0.04507,0.01449
239,0.045,0.01555,18.8,0.04508,0.01446
240,0.045,0.01555,18.8,0.04507,0.01441
241,0.045,0.01555,18.8,0.04507,0.01441
242,0.045,0.01555,18.8,0.04507,0.01441
243,0.045,0.01555,18.8,0.04507,0.01444
244,0.045,0.01555,18.8,0.04507,0.01446
245,0.045,0.01555,18.8,0.04507,0.01446
246,0.045,0.01555,18.8,0.04507,0.01447
247,0.045,0.01555,18.8,0.04507,0.01448
248,0.04498,0.01553,18.8,0.04508,0.01445
