step,cube_z,lowest_corner,tilt_deg,finger_sum,gap
0,0.05206,0.03106,0.0,0.08,0.33635
1,0.04519,0.02419,0.0,0.08,0.34606
2,0.0344,0.0134,0.0,0.08,0.3515
3,0.021,-4e-05,0.1,0.08,0.35769
4,0.021,-0.0,0.0,0.08,0.35702
5,0.021,-0.0,0.0,0.07998,0.3469
6,0.021,-0.0,0.0,0.08,0.33313
7,0.021,-0.0,0.0,0.08,0.32497
8,0.021,-0.0,0.0,0.07999,0.30671
9,0.021,-0.0,0.0,0.07999,0.28482
10,0.021,-0.0,0.0,0.08,0.27274
11,0.021,-0.0,0.0,0.08,0.24812
12,0.021,-0.0,0.0,0.08,0.22316
13,0.021,-0.0,0.0,0.08,0.20893
14,0.021,-0.0,0.0,0.08,0.1833
15,0.021,-0.0,0.0,0.08,0.15882
16,0.021,-0.0,0.0,0.08,0.14313
17,0.021,-0.0,0.0,0.08,0.11734
18,0.021,-0.0,0.0,0.08,0.09619
19,0.021,-0.0,0.0,0.08,0.08087
20,0.021,-0.0,0.0,0.07999,0.05983
21,0.021,-0.0,0.0,0.08,0.04392
22,0.02109,-0.0001,0.4,0.08,0.03371
23,0.02363,0.00035,6.0,0.07997,0.0199
24,0.0247,0.00047,9.7,0.07993,0.01361
25,0.02486,0.00046,10.2,0.07193,0.01609
26,0.02493,0.00051,10.3,0.06798,0.01543
27,0.02469,0.00046,9.7,0.0651,0.01578
28,0.0247,0.00046,9.7,0.06208,0.01636
29,0.02411,0.00039,8.0,0.05495,0.01529
30,0.02388,0.00021,7.5,0.04881,0.01543
31,0.02397,0.00035,7.1,0.05085,0.01631
32,0.02625,0.00072,10.4,0.04754,0.01512
33,0.02494,0.00041,10.4,0.04572,0.01443
34,0.02458,0.00038,9.4,0.04419,0.01536
35,0.02549,0.00056,10.6,0.04776,0.01495
36,0.02935,0.00282,13.2,0.04672,0.01499
37,0.02678,0.00076,12.6,0.04318,0.01603
38,0.02716,0.00083,13.0,0.04664,0.01626
39,0.03013,0.00246,16.4,0.04593,0.01522
40,0.02901,0.00111,19.8,0.04181,0.01704
41,0.02923,0.00169,17.5,0.04451,0.01789
42,0.03155,0.00308,19.8,0.04539,0.01704
43,0.02979,0.00162,19.4,0.0412,0.01959
44,0.02978,0.00137,19.5,0.04492,0.01969
45,0.03327,0.00408,21.4,0.04559,0.01787
46,0.0307,0.00188,21.2,0.04174,0.01969
47,0.03147,0.00249,21.3,0.04446,0.02064
48,0.03315,0.00359,23.0,0.04554,0.01855
49,0.03234,0.0029,22.4,0.04304,0.01876
50,0.03218,0.00283,22.0,0.04394,0.01944
51,0.0345,0.0044,24.0,0.04561,0.01762
52,0.03291,0.00302,23.3,0.04401,0.01721
53,0.03232,0.0027,22.7,0.04457,0.01742
54,0.03776,0.00692,26.2,0.04566,0.01667
55,0.03653,0.00589,26.0,0.04559,0.01646
56,0.03398,0.00374,24.6,0.04497,0.01643
57,0.03608,0.00534,26.1,0.04559,0.01613
58,0.03653,0.00578,26.4,0.04558,0.01618
59,0.03369,0.00341,24.9,0.04543,0.01611
60,0.03744,0.00635,27.2,0.04568,0.01598
61,0.03818,0.00705,27.7,0.04559,0.01619
62,0.03477,0.00423,25.8,0.04561,0.01604
63,0.03705,0.00613,27.3,0.04557,0.01604
64,0.03862,0.00758,28.2,0.04558,0.01614
65,0.03613,0.00557,26.9,0.0456,0.01604
66,0.0376,0.00687,28.0,0.04558,0.0161
67,0.04028,0.00927,29.6,0.04559,0.01611
68,0.03781,0.00718,28.0,0.0456,0.01604
69,0.03564,0.0053,26.9,0.0456,0.01603
70,0.04118,0.00983,30.0,0.04564,0.01605
71,0.03923,0.00829,28.7,0.04561,0.01608
72,0.03686,0.00612,27.5,0.04562,0.01606
73,0.03949,0.00827,28.8,0.04561,0.01611
74,0.04019,0.00894,29.2,0.04556,0.01613
75,0.03736,0.00655,27.6,0.0456,0.01604
76,0.03957,0.00841,29.0,0.04561,0.016
77,0.04083,0.00966,29.8,0.04558,0.01611
78,0.03828,0.00751,28.4,0.04561,0.01604
79,0.03989,0.00899,29.6,0.04558,0.01611
80,0.04241,0.01129,31.2,0.04561,0.01609
81,0.04095,0.01006,30.2,0.0456,0.01606
82,0.03927,0.0086,29.3,0.0456,0.01603
83,0.04416,0.01267,32.2,0.04564,0.01606
84,0.04062,0.0096,29.6,0.04565,0.01603
85,0.03858,0.00765,28.5,0.04559,0.01603
86,0.04266,0.01103,31.0,0.04564,0.01603
87,0.03835,0.00729,27.9,0.0456,0.01611
88,0.03611,0.00524,26.8,0.04562,0.01608
89,0.04027,0.00868,29.2,0.04564,0.01602
90,0.03985,0.00854,28.7,0.04561,0.01607
91,0.03617,0.00533,26.7,0.04561,0.01603
92,0.03912,0.00781,28.6,0.04557,0.01604
93,0.03859,0.00752,28.1,0.04559,0.01608
94,0.03469,0.0042,26.0,0.04562,0.01604
95,0.03707,0.0062,27.4,0.04557,0.01604
96,0.03855,0.00765,28.2,0.04557,0.01605
97,0.03584,0.00535,26.8,0.04561,0.01605
98,0.03845,0.00761,28.4,0.04555,0.01612
99,0.04012,0.00924,29.6,0.04566,0.01595
100,0.03823,0.00765,28.6,0.04561,0.01608
101,0.03949,0.00886,29.6,0.04558,0.01608
102,0.04202,0.01118,31.2,0.04559,0.01615
103,0.04035,0.00967,30.1,0.04561,0.01603
104,0.03944,0.00894,29.7,0.04562,0.0161
105,0.04414,0.01287,32.5,0.04563,0.01606
106,0.04112,0.01016,30.4,0.04564,0.01612
107,0.03915,0.00832,29.0,0.04563,0.01607
108,0.04455,0.01283,32.1,0.04564,0.01603
109,0.04309,0.01152,31.0,0.04566,0.016
110,0.03965,0.00845,29.0,0.04563,0.01603
111,0.04391,0.01203,31.6,0.04562,0.01606
112,0.04579,0.01389,32.8,0.04563,0.01598
113,0.04381,0.01222,31.7,0.04562,0.01604
114,0.04619,0.0143,33.5,0.04557,0.01611
115,0.04669,0.01515,34.0,0.04563,0.01612
116,0.04542,0.01383,33.2,0.04563,0.01602
117,0.04863,0.01664,35.2,0.04561,0.01607
118,0.04599,0.01421,33.2,0.04562,0.01613
119,0.04388,0.01216,31.8,0.0456,0.0161
120,0.04608,0.01416,33.0,0.04566,0.016
121,0.04605,0.01395,33.0,0.04561,0.01618
122,0.04355,0.01169,31.4,0.04561,0.0161
123,0.04648,0.01422,33.2,0.04562,0.01607
124,0.04748,0.01514,33.8,0.04561,0.01617
125,0.04481,0.01283,32.3,0.04561,0.01611
126,0.0473,0.01502,33.8,0.04562,0.01606
127,0.04941,0.01697,35.2,0.04564,0.01623
128,0.04789,0.01567,34.3,0.04561,0.01616
129,0.04911,0.01686,35.1,0.04564,0.01608
130,0.05231,0.01987,37.4,0.04568,0.01618
131,0.04865,0.01619,34.5,0.0456,0.01621
132,0.04623,0.01394,33.0,0.0456,0.01611
133,0.05072,0.01789,35.8,0.04563,0.01607
134,0.0497,0.0171,35.2,0.04566,0.01608
