step,gap,finger_sum,raw_grip_action,sent_grip_action,refresh,commands_close,yaw_to_cube_deg,cube_z,r_approach,r_fingers_on_cube,bump,held,reward_total
0,0.33635,0.08,0.3018,0.3018,1,0,12.48,0.05206,0.3049,0.0,0.0,0,0.006
1,0.34603,0.08,0.4695,0.3018,0,0,12.88,0.04519,0.2835,0.0,0.0,0,0.0056
2,0.35138,0.08,0.7067,0.3018,0,0,14.25,0.0344,0.2723,0.0,0.0,0,0.0054
3,0.35755,0.08,1.0866,0.3018,0,0,23.63,0.021,0.2599,0.0,0.0,0,0.0052
4,0.3567,0.08,0.8043,0.3018,0,0,32.54,0.021,0.2616,0.0,0.0,0,0.0052
5,0.34649,0.07998,0.487,0.487,1,0,32.45,0.021,0.2825,0.0,0.0004,0,0.0056
6,0.33267,0.08,0.9067,0.487,0,0,38.55,0.021,0.3134,0.0,0.0,0,0.0063
7,0.32446,0.08,0.6472,0.487,0,0,44.76,0.021,0.3332,0.0,0.0,0,0.0067
8,0.30609,0.07999,0.3155,0.487,0,0,43.62,0.021,0.3817,0.0,0.0002,0,0.0077
9,0.28417,0.07998,0.7991,0.487,0,0,42.03,0.021,0.4481,0.0,0.0004,0,0.0091
10,0.27209,0.08,0.4261,0.4261,1,0,36.61,0.021,0.4889,0.0,0.0,0,0.0101
11,0.24754,0.08,0.0121,0.4261,0,0,38.31,0.021,0.5822,0.0,0.0,0,0.0121
12,0.22264,0.08,0.6191,0.4261,0,0,34.56,0.021,0.692,0.0,0.0,0,0.0147
13,0.2084,0.08,0.3166,0.4261,0,0,29.39,0.021,0.7623,0.0,0.0,0,0.0164
14,0.18278,0.08,-0.0324,0.4261,0,0,30.99,0.021,0.903,0.0,0.0,0,0.02
15,0.15831,0.08,0.5573,0.5573,1,0,27.2,0.021,1.0554,0.0,0.0,0,0.0243
16,0.14259,0.08,0.1737,0.5573,0,0,24.69,0.021,1.1627,0.0,0.0,0,0.0276
17,0.11685,0.08,0.042,0.5573,0,0,26.33,0.021,1.3547,0.0,0.0001,0,0.034
18,0.0957,0.08,0.6367,0.5573,0,0,21.82,0.021,1.5291,0.0,0.0,0,0.0408
19,0.08039,0.08,0.0607,0.5573,0,0,21.86,0.021,1.6688,0.0,0.0001,0,0.0467
20,0.05953,0.07999,0.1284,0.1284,1,0,23.03,0.021,1.8984,0.0,0.0004,0,0.0565
21,0.04368,0.08,0.5479,0.1284,0,0,17.92,0.021,2.1498,0.0,0.0,0,0.0665
22,0.03361,0.08,-0.1532,0.1284,0,0,18.03,0.02109,2.3871,0.0,0.0,0,0.0747
23,0.02992,0.07997,-0.3396,0.1284,0,0,18.59,0.0271,2.4975,0.0002,0.0007,0,0.0783
24,0.03194,0.07998,-1.1306,0.1284,0,0,27.11,0.03169,2.4352,0.0001,0.0004,0,0.0763
25,0.02241,0.07228,-1.6202,-1.6202,1,1,29.75,0.02944,2.772,0.1168,0.203,0,0.0889
26,0.0145,0.06669,-0.9955,-1.6202,0,1,30.87,0.03021,3.1426,0.5312,0.3503,0,0.1076
27,0.0103,0.06167,-1.1222,-1.6202,0,1,31.69,0.03145,3.3724,1.1696,0.4824,0,0.1267
28,0.00449,0.0545,-1.1586,-1.6202,0,1,26.04,0.03173,3.7192,2.8562,0.6712,1,0.1697
29,0.00501,0.0471,-1.0432,-1.6202,0,1,19.49,0.03008,3.6871,3.5214,0.8658,1,0.1821
30,0.00938,0.04716,-1.5261,-1.5261,1,1,16.6,0.02801,3.4257,2.3093,0.8641,1,0.1509
31,0.00435,0.04948,-2.6,-1.5261,0,1,13.03,0.02694,3.7281,3.4605,0.8032,1,0.182
32,0.00339,0.05076,-2.6429,-1.5261,0,1,15.18,0.02709,3.7873,3.5908,0.7696,1,0.1862
33,0.00612,0.04897,-2.7173,-1.5261,0,1,19.65,0.02795,3.6195,3.0053,0.8166,1,0.17
34,0.00722,0.04895,-2.2669,-1.5261,0,1,19.14,0.0276,3.5528,2.7093,0.8171,1,0.1624
35,0.00746,0.04865,-2.9127,-2.9127,1,1,15.16,0.02906,3.5385,2.6727,0.825,1,0.1612
36,0.00724,0.04753,-2.9469,-2.9127,0,1,15.4,0.02928,3.5515,2.8265,0.8544,1,0.1647
37,0.00797,0.04693,-2.8684,-2.9127,0,1,10.95,0.02995,3.5083,2.6823,0.8703,1,0.1606
38,0.00804,0.04651,-3.1296,-2.9127,0,1,5.9,0.03121,3.5043,2.6985,0.8814,1,0.1608
39,0.00794,0.04595,-3.0662,-2.9127,0,1,8.28,0.03124,3.5102,2.7707,0.8961,1,0.1624
40,0.00804,0.04559,-2.4471,-2.4471,1,1,8.6,0.03117,3.5041,2.7714,0.9055,1,0.1623
41,0.00733,0.04537,-2.9616,-2.4471,0,1,8.33,0.03355,3.5461,2.9886,0.9112,1,0.1677
42,0.00711,0.04546,-2.8999,-2.4471,0,1,7.89,0.03362,3.5598,3.0481,0.909,1,0.1692
43,0.00877,0.04544,-1.7999,-2.4471,0,1,3.37,0.03245,3.4609,2.5859,0.9094,1,0.1574
44,0.0086,0.04534,-2.7844,-2.4471,0,1,3.76,0.03457,3.4711,2.6398,0.9122,1,0.1588
45,0.00862,0.04539,-2.8255,-2.8255,1,1,3.61,0.03544,3.4699,2.6305,0.9108,1,0.5676
46,0.01029,0.04566,-2.3001,-2.8255,0,1,1.75,0.03299,3.3729,2.1933,0.9036,1,0.1472
47,0.01022,0.04528,-2.6288,-2.8255,0,1,0.22,0.03398,3.3769,2.234,0.9137,1,0.1481
48,0.01018,0.04522,-2.743,-2.8255,0,1,0.48,0.03721,3.3792,2.2475,0.9154,1,0.5588
49,0.012,0.04549,-2.405,-2.8255,0,1,2.94,0.03363,3.277,1.8309,0.9082,1,0.1373
50,0.01113,0.04577,-1.9827,-1.9827,1,1,0.14,0.03283,3.3256,1.9986,0.9008,1,0.1419
51,0.01102,0.04509,-2.696,-1.9827,0,1,0.07,0.03547,3.3315,2.0614,0.9187,1,0.553
52,0.01105,0.04511,-2.8718,-1.9827,0,1,0.17,0.03556,3.3299,2.0539,0.9181,1,0.5519
53,0.0116,0.04437,-2.1682,-1.9827,0,1,0.69,0.03309,3.2991,1.9753,0.9377,1,0.1408
54,0.01149,0.04535,-2.4258,-1.9827,0,1,0.97,0.03471,3.3051,1.9439,0.912,1,0.1404
55,0.01142,0.04543,-2.667,-2.667,1,1,1.82,0.03689,3.309,1.9545,0.9099,1,0.5494
56,0.01267,0.04543,-2.0368,-2.667,0,1,0.13,0.03293,3.2401,1.7013,0.9099,1,0.1337
57,0.01246,0.04549,-2.1075,-2.667,0,1,1.08,0.03343,3.2515,1.7385,0.9082,1,0.1348
58,0.01233,0.04555,-2.5987,-2.667,0,1,2.28,0.03658,3.2586,1.7609,0.9066,1,0.5436
59,0.01234,0.04558,-2.6606,-2.667,0,1,1.28,0.03465,3.2582,1.7578,0.9058,1,0.1353
60,0.01252,0.04522,-2.3594,-2.3594,1,1,1.61,0.03357,3.2487,1.742,0.9153,1,0.1348
61,0.01232,0.04562,-2.7042,-2.3594,0,1,2.65,0.0367,3.2591,1.7591,0.9048,1,0.5428
62,0.01237,0.04558,-2.7689,-2.3594,0,1,2.52,0.03635,3.2564,1.7513,0.9057,1,0.5418
63,0.01252,0.04469,-2.455,-2.3594,0,1,2.01,0.03405,3.2483,1.7667,0.9291,1,0.1352
64,0.01235,0.04556,-2.587,-2.3594,0,1,3.13,0.0355,3.2579,1.7581,0.9064,1,0.542
65,0.01238,0.04563,-2.7416,-2.7416,1,1,3.8,0.03731,3.2558,1.7466,0.9044,1,0.5417
66,0.01256,0.04485,-2.1268,-2.7416,0,1,1.91,0.03272,3.2461,1.7513,0.925,1,0.1349
67,0.01256,0.0456,-2.0998,-2.7416,0,1,2.84,0.03404,3.2465,1.7152,0.9053,1,0.1342
68,0.01236,0.04559,-2.6655,-2.7416,0,1,2.97,0.03832,3.2571,1.7535,0.9055,1,0.5419
69,0.01242,0.04497,-2.605,-2.7416,0,1,0.37,0.03373,3.254,1.7736,0.9218,1,0.1355
70,0.01258,0.04538,-2.262,-2.262,1,1,1.56,0.03339,3.2449,1.7204,0.911,1,0.1342
71,0.01254,0.04562,-2.6968,-2.262,0,1,2.93,0.03678,3.2473,1.7173,0.9049,1,0.54
72,0.0126,0.04554,-2.7472,-2.262,0,1,1.79,0.03451,3.2438,1.7084,0.9067,1,0.134
73,0.0128,0.04454,-2.2452,-2.262,0,1,2.47,0.03429,3.2332,1.7201,0.9332,1,0.1339
74,0.01268,0.04564,-2.8336,-2.262,0,1,4.1,0.0378,3.2395,1.6882,0.9041,1,0.5394
75,0.01263,0.04564,-2.7901,-2.7901,1,1,3.32,0.03592,3.2424,1.6986,0.9042,1,0.5383
76,0.01278,0.04508,-1.7924,-2.7901,0,1,3.82,0.03429,3.2345,1.6982,0.9189,1,0.1335
77,0.01265,0.04563,-2.8473,-2.7901,0,1,4.88,0.03751,3.2415,1.696,0.9044,1,0.5395
78,0.01266,0.04564,-2.809,-2.7901,0,1,3.78,0.03569,3.2406,1.6927,0.9043,1,0.5379
79,0.01278,0.04555,-2.2595,-2.7901,0,1,3.99,0.03362,3.2345,1.6754,0.9065,1,0.133
80,0.0125,0.04558,-2.6132,-2.6132,1,1,5.15,0.03588,3.2496,1.7268,0.9057,1,0.539
81,0.01246,0.0456,-2.7485,-2.6132,0,1,4.88,0.03523,3.2515,1.7327,0.9052,1,0.5382
82,0.01282,0.04477,-1.7,-2.6132,0,1,5.09,0.03421,3.2321,1.7048,0.927,1,0.1336
83,0.01256,0.04555,-2.9772,-2.6132,0,1,6.01,0.03643,3.2464,1.7171,0.9065,1,0.539
