checkpoint,shift_x,shift_y,shift_mag,grasped,airborne,grasped_and_airborne,trials,success_pct,lift_median_m,tilt_median_deg,pass
stage20_3394560_steps,0.0,0.0,0.0,501,512,482,512,94.1,0.0775,33.4,0
stage20_3394560_steps,0.024,0.024,0.0339,506,512,459,512,89.6,0.0836,37.1,0
stage20_3394560_steps,0.04,0.0,0.04,372,512,148,512,28.9,0.001,34.6,0
stage20_3394560_steps,0.0,-0.04,0.04,499,512,489,512,95.5,0.0725,32.6,0
stage20_3394560_steps,0.035,0.035,0.0495,498,512,316,512,61.7,0.0527,35.4,0
stage20_3394560_steps,0.05,0.05,0.0707,68,512,0,512,0.0,0.0001,0.0,0
