step,d_cube_median,d_ghost_median,finger_sum_median,cube_corner_median,arm_joints_pinned_median,grasping_pct
105,0.0173,0.04821,0.04519,0.12349,0.0,97.7
106,0.0173,0.04818,0.04519,0.12313,0.0,97.5
107,0.01731,0.0482,0.04518,0.12354,0.0,97.7
108,0.01731,0.04815,0.04518,0.12333,0.0,97.5
109,0.01731,0.04823,0.04518,0.12336,0.0,97.7
110,0.01734,0.04813,0.04519,0.12291,0.0,97.7
111,0.01731,0.0482,0.04518,0.12308,0.0,97.7
112,0.0173,0.04819,0.04518,0.12286,0.0,97.7
113,0.0173,0.04817,0.04518,0.12311,0.0,97.7
114,0.01732,0.04815,0.04518,0.12291,0.0,97.5
115,0.01732,0.04809,0.04518,0.1229,0.0,97.7
116,0.01731,0.04818,0.04518,0.12256,0.0,97.5
117,0.0173,0.04812,0.04518,0.12289,0.0,97.7
118,0.01731,0.04821,0.04518,0.12242,0.0,97.5
119,0.01731,0.04819,0.04519,0.12292,0.0,97.7
120,0.01731,0.04819,0.04519,0.12237,0.0,97.7
121,0.01732,0.04812,0.04519,0.12241,0.0,97.7
122,0.0173,0.04814,0.04518,0.12237,0.0,97.5
123,0.01731,0.04814,0.04518,0.12243,0.0,97.7
124,0.0173,0.04815,0.04518,0.12233,0.0,97.7
125,0.01731,0.04814,0.04519,0.12259,0.0,97.7
126,0.01731,0.0482,0.04518,0.12225,0.0,97.5
127,0.01733,0.04818,0.04518,0.12247,0.0,97.7
128,0.01732,0.04821,0.04518,0.12229,0.0,97.5
129,0.01733,0.04819,0.04518,0.12227,0.0,97.7
130,0.01731,0.04819,0.04518,0.12206,0.0,97.7
131,0.01731,0.04813,0.04519,0.12216,0.0,97.7
132,0.01731,0.04813,0.04518,0.1221,0.0,97.7
133,0.01731,0.04812,0.04518,0.12211,0.0,97.7
134,0.01731,0.04812,0.04518,0.12214,0.0,97.7
135,0.01732,0.04812,0.04518,0.12212,0.0,97.7
136,0.01732,0.04813,0.04518,0.1219,0.0,97.5
137,0.0173,0.04809,0.04518,0.12214,0.0,97.7
138,0.01731,0.04809,0.04518,0.12208,0.0,97.5
139,0.01731,0.04808,0.04518,0.12226,0.0,97.7
140,0.01731,0.0481,0.04518,0.12203,0.0,97.7
141,0.0173,0.0481,0.04519,0.12212,0.0,97.7
142,0.01732,0.0481,0.04518,0.12217,0.0,97.7
143,0.01734,0.04806,0.04518,0.1222,0.0,97.7
144,0.0173,0.04809,0.04518,0.1222,0.0,97.5
145,0.01731,0.04808,0.04519,0.12226,0.0,97.7
146,0.01733,0.04808,0.04518,0.12238,0.0,97.7
147,0.01732,0.04809,0.04518,0.12237,0.0,97.7
148,0.01733,0.04809,0.04518,0.12241,0.0,97.5
149,0.01733,0.04807,0.04518,0.12247,0.0,97.7
150,0.01731,0.04808,0.04518,0.12211,0.0,97.7
151,0.01731,0.0481,0.04518,0.12224,0.0,97.7
152,0.01732,0.04815,0.04518,0.12226,0.0,97.5
153,0.01733,0.04818,0.04518,0.1223,0.0,97.7
154,0.01731,0.04814,0.04518,0.12203,0.0,97.7
155,0.01732,0.04815,0.04518,0.12208,0.0,97.7
156,0.01732,0.04809,0.04518,0.12174,0.0,97.5
157,0.01732,0.04813,0.04518,0.12202,0.0,97.7
158,0.01733,0.04814,0.04518,0.12174,0.0,97.5
159,0.01732,0.04811,0.04518,0.12195,0.0,97.7
160,0.0173,0.04808,0.04518,0.12202,0.0,97.5
161,0.01731,0.04809,0.04518,0.12208,0.0,97.7
162,0.01731,0.04814,0.04518,0.12205,0.0,97.7
163,0.0173,0.04807,0.04518,0.12202,0.0,97.7
164,0.01731,0.04813,0.04518,0.12209,0.0,97.7
165,0.01732,0.04814,0.04518,0.12228,0.0,97.7
166,0.01731,0.04809,0.04518,0.12207,0.0,97.5
167,0.01731,0.04811,0.04518,0.12234,0.0,97.7
168,0.01732,0.0481,0.04518,0.12212,0.0,97.7
169,0.01732,0.0481,0.04518,0.12243,0.0,97.7
170,0.01733,0.04807,0.04518,0.12205,0.0,97.5
171,0.01731,0.04808,0.04518,0.12228,0.0,97.7
172,0.01732,0.04814,0.04518,0.12219,0.0,97.7
173,0.01731,0.04808,0.04518,0.12226,0.0,97.7
174,0.01731,0.04812,0.04518,0.12207,0.0,97.7
175,0.01731,0.04813,0.04518,0.12214,0.0,97.7
176,0.01732,0.04812,0.04518,0.12225,0.0,97.5
177,0.01731,0.04811,0.04518,0.12236,0.0,97.7
178,0.01731,0.04808,0.04518,0.12214,0.0,97.7
179,0.0173,0.04811,0.04518,0.12237,0.0,97.7
180,0.01733,0.04805,0.04518,0.12213,0.0,97.7
181,0.01732,0.0481,0.04518,0.12215,0.0,97.7
182,0.0173,0.04807,0.04518,0.12209,0.0,97.7
183,0.01733,0.04813,0.04518,0.12223,0.0,97.7
184,0.01731,0.04814,0.04518,0.12224,0.0,97.5
185,0.01732,0.04813,0.04518,0.12235,0.0,97.7
186,0.01733,0.04817,0.04518,0.12212,0.0,97.7
187,0.01732,0.04816,0.04519,0.12213,0.0,97.7
188,0.01732,0.04818,0.04518,0.12207,0.0,97.7
189,0.0173,0.04814,0.04518,0.12225,0.0,97.7
190,0.01732,0.0482,0.04518,0.12227,0.0,97.5
191,0.01731,0.04813,0.04518,0.12209,0.0,97.7
192,0.01731,0.04812,0.04518,0.1219,0.0,97.7
193,0.0173,0.0481,0.04518,0.12218,0.0,97.7
194,0.01731,0.04811,0.04518,0.12196,0.0,97.7
195,0.01731,0.04806,0.04518,0.12206,0.0,97.7
196,0.01731,0.04809,0.04518,0.12189,0.0,97.7
197,0.01731,0.04812,0.04518,0.12187,0.0,97.7
198,0.01732,0.04806,0.04518,0.12174,0.0,97.7
199,0.01731,0.0481,0.04519,0.12204,0.0,97.7
200,0.01731,0.04809,0.04518,0.12178,0.0,97.7
201,0.0173,0.04809,0.04518,0.12198,0.0,97.7
202,0.0173,0.04812,0.04518,0.12198,0.0,97.5
203,0.0173,0.04814,0.04518,0.12224,0.0,97.7
204,0.01732,0.04813,0.04518,0.1219,0.0,97.5
205,0.01732,0.04812,0.04518,0.12181,0.0,97.7
206,0.01731,0.04809,0.04518,0.12165,0.0,97.7
207,0.01731,0.04813,0.04518,0.1221,0.0,97.7
208,0.01732,0.04808,0.04518,0.12195,0.0,97.7
209,0.0173,0.0481,0.04519,0.12195,0.0,97.7
210,0.0173,0.0481,0.04518,0.12203,0.0,97.7
211,0.01731,0.04808,0.04519,0.12216,0.0,97.7
212,0.01731,0.04809,0.04518,0.12163,0.0,97.5
213,0.01732,0.04811,0.04518,0.12215,0.0,97.7
214,0.01731,0.04812,0.04518,0.12209,0.0,97.7
215,0.01732,0.04811,0.04518,0.12219,0.0,97.7
216,0.01734,0.04814,0.04518,0.12222,0.0,97.7
217,0.01732,0.04811,0.04519,0.1222,0.0,97.7
218,0.01732,0.04811,0.04518,0.12197,0.0,97.7
219,0.0173,0.04811,0.04518,0.12199,0.0,97.7
220,0.01732,0.04814,0.04518,0.12205,0.0,97.7
221,0.0173,0.04811,0.04518,0.12195,0.0,97.5
222,0.0173,0.04816,0.04518,0.12204,0.0,97.7
223,0.01732,0.04812,0.04519,0.12213,0.0,97.5
224,0.01732,0.04822,0.04518,0.12217,0.0,97.7
225,0.01731,0.04813,0.04518,0.12199,0.0,97.5
226,0.01731,0.04821,0.04518,0.122,0.0,97.7
227,0.01732,0.04819,0.04518,0.12217,0.0,97.7
228,0.01732,0.04822,0.04518,0.12196,0.0,97.7
229,0.01732,0.04817,0.04518,0.1218,0.0,97.5
230,0.01731,0.04819,0.04518,0.12188,0.0,97.7
231,0.01732,0.04818,0.04518,0.12196,0.0,97.7
232,0.01731,0.04821,0.04518,0.12201,0.0,97.7
233,0.01731,0.04819,0.04519,0.1219,0.0,97.5
234,0.01731,0.04817,0.04518,0.12198,0.0,97.7
235,0.01731,0.04813,0.04518,0.12164,0.0,97.7
236,0.01733,0.04816,0.04519,0.1218,0.0,97.7
237,0.01733,0.04815,0.04518,0.12203,0.0,97.5
238,0.01735,0.04818,0.04518,0.12172,0.0,97.7
239,0.01732,0.04815,0.04519,0.12172,0.0,97.7
240,0.01731,0.04813,0.04518,0.12173,0.0,97.7
241,0.01732,0.04814,0.04518,0.12173,0.0,97.7
242,0.01731,0.04813,0.04518,0.12203,0.0,97.7
243,0.01731,0.04813,0.04518,0.12194,0.0,97.7
244,0.01732,0.04814,0.04518,0.12201,0.0,97.7
245,0.01734,0.0481,0.04518,0.12184,0.0,97.7
246,0.01732,0.04814,0.04518,0.12209,0.0,97.7
247,0.01731,0.04811,0.04519,0.12227,0.0,97.7
248,0.01732,0.04816,0.04518,0.12206,0.0,97.7
249,0.33491,0.33252,0.08,0.034,0.0,0.0
