step,d_cube_median,d_ghost_median,finger_sum_median,cube_corner_median,arm_joints_pinned_median,grasping_pct
0,0.33674,0.33674,0.08,0.03106,0.0,0.0
1,0.3395,0.3395,0.08,0.02419,0.0,0.0
2,0.34297,0.34297,0.08,0.0134,0.0,0.0
3,0.34953,0.34953,0.08,-1e-05,0.0,0.0
4,0.34389,0.34389,0.08,-0.0,0.0,0.0
5,0.33929,0.33929,0.08,-0.0,0.0,0.0
6,0.3352,0.3352,0.08,-0.0,0.0,0.0
7,0.32922,0.32922,0.08,-0.0,0.0,0.0
8,0.31856,0.31856,0.08,-0.0,0.0,0.0
9,0.30263,0.30263,0.08,-0.0,0.0,0.0
10,0.28326,0.28326,0.07998,-0.0,0.0,0.0
11,0.26158,0.26158,0.07997,-0.0,0.0,0.0
12,0.23924,0.23924,0.07995,-0.0,0.0,0.0
13,0.21722,0.21722,0.07993,-0.0,0.0,0.0
14,0.19685,0.19685,0.07992,-0.0,0.0,0.0
15,0.17768,0.17768,0.07991,-0.0,0.0,0.0
16,0.16029,0.16029,0.07992,-0.0,0.0,0.0
17,0.14312,0.14312,0.07994,-0.0,0.0,0.0
18,0.12659,0.12659,0.07995,-0.0,0.0,0.0
19,0.10946,0.10946,0.07998,-0.0,0.0,0.0
20,0.09203,0.09203,0.07998,-0.0,0.0,0.0
21,0.07413,0.07413,0.07999,-0.0,0.0,0.0
22,0.0558,0.0558,0.07999,-0.0,0.0,0.0
23,0.03736,0.03736,0.08,-0.0,0.0,0.0
24,0.01887,0.01887,0.08,-0.0,0.0,0.0
25,0.00464,0.00464,0.08,-0.0,0.0,0.0
26,0.01069,0.01069,0.07989,-0.00012,0.0,0.0
27,0.01131,0.01131,0.07997,-2e-05,0.0,0.0
28,0.01297,0.01297,0.08,-0.0,0.0,0.0
29,0.01421,0.01421,0.07932,-0.0,0.0,0.0
30,0.01531,0.01531,0.07326,-0.0,0.0,0.0
31,0.01682,0.01682,0.06846,-0.0,0.0,0.0
32,0.01817,0.01817,0.06546,-0.0,0.0,0.4
33,0.01855,0.01855,0.06192,-0.0,0.0,11.3
34,0.01775,0.01775,0.0583,0.0,0.0,33.2
35,0.01715,0.01715,0.05212,7e-05,0.0,59.4
36,0.01816,0.01816,0.04593,0.00011,0.0,92.6
37,0.02005,0.02005,0.04367,0.00017,0.0,99.0
38,0.021,0.021,0.04481,0.00025,0.0,98.8
39,0.02073,0.02073,0.04519,0.00039,0.0,99.4
40,0.02018,0.02018,0.04518,0.00094,0.0,99.2
41,0.01956,0.01956,0.04521,0.00374,0.0,99.4
42,0.01901,0.01901,0.04527,0.00719,0.0,99.4
43,0.0186,0.0186,0.04527,0.01166,0.0,99.4
44,0.01849,0.01849,0.04525,0.0172,0.0,99.4
45,0.01835,0.01835,0.04523,0.02132,0.0,99.4
46,0.01821,0.01821,0.04523,0.02299,0.0,99.4
47,0.0182,0.0182,0.04523,0.02512,0.0,99.2
48,0.01821,0.01821,0.04521,0.02766,0.0,99.2
49,0.01824,0.01824,0.04521,0.0306,0.0,99.2
50,0.01827,0.01827,0.04521,0.03244,0.0,99.2
51,0.01829,0.01829,0.04522,0.03332,0.0,99.0
52,0.01837,0.01837,0.0452,0.03336,0.0,99.0
53,0.01841,0.01841,0.0452,0.03344,0.0,98.4
54,0.01841,0.01841,0.04519,0.03374,0.0,98.4
55,0.01837,0.01837,0.04519,0.03405,0.0,98.4
56,0.01839,0.01839,0.0452,0.03469,0.0,98.4
57,0.01838,0.01838,0.0452,0.03565,0.0,98.4
58,0.01838,0.01838,0.04519,0.03699,0.0,98.4
59,0.01839,0.01839,0.0452,0.03867,0.0,98.2
60,0.01837,0.01837,0.04522,0.04172,0.0,98.0
61,0.01839,0.01839,0.04521,0.04475,0.0,98.2
62,0.01836,0.01836,0.0452,0.04862,0.0,98.2
63,0.01838,0.01838,0.04521,0.0527,0.0,98.0
64,0.01849,0.01849,0.04521,0.0568,0.0,98.2
65,0.01854,0.01854,0.0452,0.06069,0.0,98.2
66,0.01856,0.01856,0.04519,0.06361,0.0,98.2
67,0.01855,0.01855,0.04518,0.06724,0.0,98.2
68,0.01855,0.01855,0.04519,0.07066,0.0,98.2
69,0.01855,0.01855,0.04519,0.07408,0.0,98.2
70,0.01854,0.01854,0.04517,0.07808,0.0,98.2
71,0.01857,0.01857,0.04519,0.08148,0.0,98.2
72,0.01857,0.01857,0.04519,0.08463,0.0,97.9
73,0.01857,0.01857,0.04517,0.08867,0.0,97.9
74,0.01854,0.01854,0.04518,0.09102,0.0,97.9
75,0.01855,0.01855,0.04519,0.09337,0.0,97.9
76,0.01853,0.01853,0.04517,0.09592,0.0,98.0
77,0.01857,0.01857,0.04518,0.09835,0.0,97.9
78,0.01855,0.01855,0.04518,0.1,0.0,97.9
79,0.01855,0.01855,0.04517,0.10162,0.0,97.9
80,0.01856,0.01856,0.04517,0.10376,0.0,97.9
81,0.01857,0.01857,0.04518,0.10542,0.0,97.7
82,0.01855,0.01855,0.04518,0.10817,0.0,97.7
83,0.01859,0.01859,0.04518,0.11006,0.0,97.5
84,0.01858,0.01858,0.04517,0.11358,0.0,97.7
85,0.01855,0.01855,0.04518,0.11598,0.0,97.7
86,0.01855,0.01855,0.04518,0.11969,0.0,97.5
87,0.01859,0.01859,0.04517,0.1229,0.0,97.5
88,0.01855,0.01855,0.04517,0.12434,0.0,97.5
89,0.01857,0.01857,0.04517,0.1259,0.0,97.5
90,0.01855,0.01855,0.04516,0.12759,0.0,97.5
91,0.01859,0.01859,0.04517,0.12886,0.0,97.5
92,0.01855,0.01855,0.04516,0.12952,0.0,97.5
93,0.01856,0.01856,0.04515,0.12907,0.0,97.5
94,0.01854,0.01854,0.04516,0.12915,0.0,97.5
95,0.01856,0.01856,0.04516,0.12958,0.0,97.5
96,0.01855,0.01855,0.04516,0.12958,0.0,97.5
97,0.01859,0.01859,0.04515,0.12968,0.0,97.5
98,0.01854,0.01854,0.04515,0.13005,0.0,97.5
