checkpoint,shift_x,shift_y,shift_mag,grasped,airborne,grasped_and_airborne,trials,success_pct,lift_median_m,tilt_median_deg,pass
stage20_3793920_steps,0.0,0.0,0.0,510,512,501,512,97.9,0.0561,32.3,0
stage20_3793920_steps,0.024,0.024,0.0339,502,512,383,512,74.8,0.0578,34.3,0
stage20_3793920_steps,0.04,0.0,0.04,149,512,24,512,4.7,0.0003,30.4,0
stage20_3793920_steps,0.0,-0.04,0.04,484,512,456,512,89.1,0.0573,31.9,0
stage20_3793920_steps,0.035,0.035,0.0495,392,512,145,512,28.3,0.0015,37.4,0
stage20_3793920_steps,0.05,0.05,0.0707,60,512,0,512,0.0,0.0001,0.0,0
