step,d_cube_median,d_ghost_median,finger_sum_median,cube_corner_median,arm_joints_pinned_median,grasping_pct
105,0.03526,0.0598,0.04476,0.13535,0.0,28.5
106,0.03525,0.05983,0.04475,0.13525,0.0,28.5
107,0.03531,0.05978,0.04475,0.13506,0.0,28.7
108,0.03521,0.0597,0.04475,0.13535,0.0,28.7
109,0.03529,0.06034,0.04474,0.13554,0.0,28.7
110,0.03528,0.06012,0.04474,0.13544,0.0,28.9
111,0.03528,0.05991,0.04474,0.13487,0.0,28.7
112,0.03528,0.06003,0.04474,0.1358,0.0,28.7
113,0.03533,0.06006,0.04474,0.13576,0.0,28.7
114,0.03529,0.06017,0.04474,0.13532,0.0,28.7
115,0.03535,0.06079,0.04474,0.13482,0.0,28.7
116,0.03532,0.0607,0.04474,0.13501,0.0,28.7
117,0.03535,0.06077,0.04474,0.13557,0.0,28.7
118,0.03536,0.06087,0.04475,0.13519,0.0,28.7
119,0.03536,0.06097,0.04474,0.13495,0.0,28.7
120,0.03535,0.06081,0.04474,0.13439,0.0,28.7
121,0.03538,0.06096,0.04473,0.13406,0.0,28.9
122,0.03535,0.06077,0.04473,0.13456,0.0,28.7
123,0.03534,0.06095,0.04474,0.13447,0.0,28.7
124,0.03534,0.06101,0.04473,0.13459,0.0,28.7
125,0.03539,0.06102,0.04473,0.13487,0.0,28.7
126,0.03535,0.06089,0.04473,0.13436,0.0,28.7
127,0.03548,0.06116,0.04472,0.13405,0.0,28.7
128,0.03548,0.06107,0.04473,0.13469,0.0,28.7
129,0.03549,0.06111,0.04472,0.13458,0.0,28.7
130,0.03552,0.06105,0.04473,0.1348,0.0,28.7
131,0.03551,0.06118,0.04473,0.13472,0.0,28.7
132,0.03552,0.0611,0.04473,0.13472,0.0,28.7
133,0.03549,0.06116,0.04473,0.13413,0.0,28.7
134,0.03549,0.06144,0.04473,0.1339,0.0,28.7
135,0.03548,0.06147,0.04472,0.13341,0.0,28.7
136,0.03551,0.06152,0.04473,0.1332,0.0,28.7
137,0.03553,0.06162,0.04472,0.13299,0.0,28.7
138,0.0355,0.06161,0.04472,0.13315,0.0,28.7
139,0.03548,0.06173,0.04473,0.13279,0.0,28.7
140,0.03552,0.06153,0.04472,0.13225,0.0,28.7
141,0.0355,0.06162,0.04472,0.13212,0.0,28.7
142,0.03553,0.06172,0.04472,0.13215,0.0,28.7
143,0.03552,0.06156,0.04473,0.13283,0.0,28.7
144,0.03551,0.06159,0.04474,0.13276,0.0,28.7
145,0.0355,0.06157,0.04473,0.13221,0.0,28.7
146,0.03549,0.0615,0.04473,0.13263,0.0,28.7
147,0.03549,0.0613,0.04472,0.13239,0.0,28.7
148,0.03547,0.06154,0.04473,0.13242,0.0,28.7
149,0.03548,0.06175,0.04472,0.13261,0.0,28.9
150,0.03549,0.06165,0.04473,0.13231,0.0,28.7
151,0.0355,0.06159,0.04472,0.13224,0.0,28.7
152,0.03551,0.06161,0.04471,0.13245,0.0,28.7
153,0.03552,0.06152,0.04473,0.13225,0.0,28.7
154,0.03553,0.06149,0.04472,0.13295,0.0,28.7
155,0.03554,0.06148,0.04471,0.13197,0.0,28.7
156,0.03554,0.0615,0.04472,0.13281,0.0,28.7
157,0.03557,0.06151,0.04471,0.13284,0.0,28.7
158,0.03557,0.06147,0.04471,0.13264,0.0,28.7
159,0.03555,0.06156,0.04472,0.13233,0.0,28.7
160,0.03558,0.06157,0.04471,0.13283,0.0,28.7
161,0.03555,0.06171,0.04472,0.1324,0.0,28.7
162,0.03557,0.06159,0.04471,0.13307,0.0,28.7
163,0.03555,0.06145,0.04472,0.13221,0.0,28.7
164,0.03556,0.06149,0.04471,0.13245,0.0,28.7
165,0.03557,0.06157,0.04473,0.1318,0.0,28.7
166,0.03557,0.06159,0.04471,0.13268,0.0,28.7
167,0.03558,0.0616,0.04472,0.13266,0.0,28.7
168,0.03554,0.06154,0.04471,0.1328,0.0,28.7
169,0.03558,0.06161,0.04472,0.1316,0.0,28.7
170,0.0356,0.06179,0.04471,0.13194,0.0,28.7
171,0.03562,0.06189,0.04473,0.13142,0.0,28.7
172,0.03562,0.06186,0.0447,0.13201,0.0,28.7
173,0.03559,0.06186,0.04473,0.13144,0.0,28.7
174,0.0357,0.06166,0.04471,0.13123,0.0,28.7
175,0.03578,0.06167,0.04471,0.13043,0.0,28.7
176,0.03579,0.06169,0.04469,0.13211,0.0,28.7
177,0.03579,0.06186,0.0447,0.13074,0.0,28.7
178,0.03583,0.06169,0.04469,0.13054,0.0,28.7
179,0.03581,0.06181,0.04471,0.13066,0.0,28.7
180,0.03583,0.06191,0.04469,0.13102,0.0,28.7
181,0.03588,0.06164,0.04471,0.13081,0.0,28.7
182,0.03585,0.06173,0.04469,0.13142,0.0,28.7
183,0.03585,0.06171,0.04471,0.13074,0.0,28.7
184,0.03589,0.06166,0.04471,0.13031,0.0,28.7
185,0.03588,0.06186,0.0447,0.12983,0.0,28.7
186,0.03587,0.06184,0.0447,0.13062,0.0,28.7
187,0.03586,0.06181,0.0447,0.13067,0.0,28.7
188,0.0359,0.06205,0.04471,0.13031,0.0,28.7
189,0.03586,0.06199,0.0447,0.1307,0.0,28.7
190,0.03591,0.06203,0.04471,0.13089,0.0,28.7
191,0.03588,0.062,0.04471,0.13049,0.0,28.7
192,0.03588,0.06206,0.04471,0.13107,0.0,28.7
193,0.03586,0.06207,0.0447,0.13027,0.0,28.7
194,0.03594,0.06205,0.04471,0.1302,0.0,28.7
195,0.03586,0.06238,0.04469,0.1301,0.0,28.7
196,0.03594,0.06239,0.0447,0.13019,0.0,28.7
197,0.03588,0.06254,0.04469,0.13007,0.0,28.7
198,0.03592,0.06248,0.04469,0.13077,0.0,28.7
199,0.03589,0.06268,0.04469,0.13035,0.0,28.7
200,0.03597,0.06302,0.04471,0.13012,0.0,28.7
201,0.03591,0.06311,0.04471,0.12982,0.0,28.7
202,0.03598,0.06297,0.04468,0.13054,0.0,28.7
203,0.03595,0.06332,0.04467,0.12962,0.0,28.7
204,0.03607,0.06318,0.0447,0.12964,0.0,28.7
205,0.03599,0.06334,0.04468,0.12961,0.0,28.7
206,0.03608,0.06322,0.0447,0.1298,0.0,28.7
207,0.03604,0.06336,0.04468,0.12878,0.0,28.7
208,0.03608,0.06321,0.04469,0.13006,0.0,28.7
209,0.03607,0.06331,0.04468,0.12981,0.0,28.7
210,0.03608,0.06319,0.04469,0.12938,0.0,28.7
211,0.03613,0.0633,0.04468,0.12933,0.0,28.7
212,0.03614,0.06328,0.0447,0.12984,0.0,28.7
213,0.03616,0.06338,0.04469,0.12901,0.0,28.7
214,0.03615,0.06325,0.04471,0.12975,0.0,28.7
215,0.03619,0.06328,0.04469,0.12961,0.0,28.7
216,0.03617,0.06325,0.04471,0.12963,0.0,28.7
217,0.03616,0.0633,0.04468,0.12964,0.0,28.7
218,0.03616,0.06318,0.04468,0.12993,0.0,28.7
219,0.03617,0.0634,0.04468,0.12924,0.0,28.7
220,0.03622,0.06348,0.04468,0.12995,0.0,28.7
221,0.03616,0.06358,0.04468,0.12983,0.0,28.7
222,0.03617,0.06355,0.04469,0.12981,0.0,28.7
223,0.03618,0.06357,0.04468,0.12957,0.0,28.7
224,0.03619,0.06349,0.04469,0.12913,0.0,28.7
225,0.03627,0.06344,0.04467,0.12918,0.0,28.7
226,0.03622,0.06348,0.04468,0.12926,0.0,28.7
227,0.03625,0.06351,0.04467,0.12869,0.0,28.7
228,0.03623,0.06345,0.04467,0.12923,0.0,28.7
229,0.03636,0.06344,0.04467,0.12875,0.0,28.7
230,0.03619,0.06351,0.04466,0.12759,0.0,28.7
