checkpoint,shift_x,shift_y,shift_mag,grasped,airborne,grasped_and_airborne,trials,success_pct,lift_median_m,tilt_median_deg,pass
stage21_final,0.0,0.0,0.0,440,512,426,512,83.2,0.0326,19.9,0
stage21_final,0.024,0.024,0.0339,357,512,342,512,66.8,0.0349,19.4,0
stage21_final,0.04,0.0,0.04,255,512,15,512,2.9,0.0001,19.6,0
stage21_final,0.0,-0.04,0.04,512,512,512,512,100.0,0.026,20.1,0
stage21_final,0.035,0.035,0.0495,294,512,7,512,1.4,0.0002,18.7,0
stage21_final,0.05,0.05,0.0707,0,512,0,512,0.0,0.0,0.0,0
