checkpoint,shift_x,shift_y,shift_mag,grasped,airborne,grasped_and_airborne,trials,success_pct,lift_median_m,tilt_median_deg,pass
stage23_2995200_steps,0.0,0.0,0.0,512,512,512,512,100.0,0.0306,26.9,0
stage23_2995200_steps,0.024,0.024,0.0339,507,512,493,512,96.3,0.1039,79.5,1
stage23_2995200_steps,0.04,0.0,0.04,511,512,510,512,99.6,0.1109,80.6,1
stage23_2995200_steps,0.0,-0.04,0.04,512,512,512,512,100.0,0.0306,27.5,0
stage23_2995200_steps,0.035,0.035,0.0495,507,512,506,512,98.8,0.1069,81.7,1
stage23_2995200_steps,0.05,0.05,0.0707,512,512,512,512,100.0,0.108,82.6,1
