checkpoint,shift_x,shift_y,shift_mag,grasped,airborne,grasped_and_airborne,trials,success_pct,lift_median_m,tilt_median_deg,pass
stage22_final,0.0,0.0,0.0,512,512,511,512,99.8,0.144,64.8,1
stage22_final,0.024,0.024,0.0339,511,512,507,512,99.0,0.1392,66.4,1
stage22_final,0.04,0.0,0.04,504,512,449,512,87.7,0.1466,76.7,0
stage22_final,0.0,-0.04,0.04,512,512,512,512,100.0,0.1526,66.1,1
stage22_final,0.035,0.035,0.0495,488,512,477,512,93.2,0.1263,78.5,1
stage22_final,0.05,0.05,0.0707,383,512,321,512,62.7,0.12,80.9,0
